# p1 - c1 sync,p1 - c4 sync,p2 - c2 sync,p2 - c5 sync,c1 - p1,c2 - p2,c4 - p1,c5 - p2
12158.85901,46723.89913,24128.83401,47471.97199,317.98005,358.95681,255.30982,89.75506
44.08503,1314.71992,120.30602,44.21401,346.73119,71.59209,46.73600,147.53485
37.63294,360.32510,80.31607,2364.17794,43.98704,157.19891,61.07593,222.34201
33.63204,33.81395,1237.84089,325.93584,43.99395,49.16286,43.66398,113.83986
34.32512,159.68919,37.73117,36.75699,42.90509,65.80496,43.40696,66.91098
1560.30393,237.19501,170.01104,37.06098,21.64388,130.80120,84.27501,43.83588
34.79505,34.81507,119.53616,2336.68518,120.40186,187.94012,120.84389,43.48588
36.56697,241.53686,50.51684,288.59591,215.13700,113.84702,43.37907,43.54405
33.31494,33.43105,96.74215,96.81702,51.64504,65.05919,51.62287,380.20992
36.18884,458.15206,504.03905,504.18615,83.23002,400.38610,44.32416,89.94699
2363.24215,892.01999,630.23710,35.21490,22.02487,21.93594,213.15598,71.45596
1296.70191,1296.55004,33.21600,33.38790,195.69898,44.96408,248.83199,0.00000
1092.89694,43.42198,36.69214,2178.68805,36.70502,44.00706,261.23285,866.10699
52.38700,2495.32294,38.83791,225.47698,42.56701,196.95187,21.97790,46.20814
2872.03407,460.01220,460.89196,363.62696,51.91803,21.02184,592.71002,85.28209
793.93291,34.23786,845.13593,4365.35501,51.96595,43.44082,45.46189,70.54210
33.95009,34.44314,1441.16592,2362.59985,66.98012,22.52412,66.36500,285.28905
34.18803,33.97918,1250.00095,293.68401,102.40507,76.49398,102.45991,92.03005
44.15703,194.79585,1015.28001,33.80799,204.20694,196.10405,53.91908,57.84106
179.07500,203.65787,58.69293,34.26194,185.25982,81.99406,419.29889,45.76397
34.63793,34.06906,34.29508,1166.58187,42.68813,181.93889,43.14399,44.05117
34.12890,336.23481,34.03592,99.14804,110.87704,64.85391,47.10197,225.73996
34.81388,440.29403,32.92823,1669.34419,186.85699,65.61995,44.47794,44.41500
32.64904,32.72009,32.55987,811.44285,73.99106,183.03990,363.66796,43.34998
