# p1 - c5 sync,p2 - c1 sync,c1 - p2,c5 - p1
54535.21109,24140.09309,0.00000,157.80807
1305.76992,131.73699,70.49489,689.88705
46.55313,126.04904,184.82590,69.77892
1423.75803,1254.60792,44.69609,69.43107
45.26997,49.27611,65.19103,185.04715
1523.98682,1439.98408,21.58093,46.17596
46.24915,980.39699,186.34009,120.10002
350.19803,69.58294,106.59313,43.11109
49.63303,107.54204,65.32717,394.37318
418.89000,1325.26112,182.45888,258.68988
82.56102,2362.75101,22.00913,570.25504
4194.63992,351.03989,22.00603,75.98519
2108.50286,47.11103,44.10982,76.08294
231.16493,49.16191,197.77703,80.03092
449.25308,2871.90390,51.99385,648.35310
45.34388,855.98397,43.57004,44.77596
2463.30309,1451.89786,22.28618,72.79491
446.52605,1261.28292,76.14803,72.80612
205.82294,1025.67911,196.29598,54.13294
1162.00185,69.40794,81.62713,53.43318
45.12501,45.90702,184.15499,526.56007
347.30983,964.74695,22.22204,46.81182
1836.31897,43.35403,65.74297,355.61585
1109.34305,42.80996,183.22897,43.49995
51.45192,113.03711,217.96393,77.22998
4508.75401,901.47805,82.03411,285.10308
2431.92697,2034.60503,21.09504,44.39497
345.33906,2268.47601,225.21305,650.22087
344.30909,278.42283,22.31717,228.02711
48.46716,57.56593,82.50809,83.62293
1963.04893,47.03689,199.46003,72.87979
43.58292,898.14496,23.33188,82.64589
45.25805,159.88803,385.53786,136.32703
47.13488,830.98817,154.63996,182.94382
44.29007,3478.84583,26.88789,191.15615
1636.10601,2589.36191,24.66702,65.25493
45.82500,744.70711,128.69096,356.02999
48.66791,1176.33700,234.89785,537.95791
334.01299,43.27011,67.27099,105.97205
1672.43910,400.02608,270.63417,221.39597
715.74306,963.22703,36.37385,408.96416
757.42412,44.08813,145.02788,43.67113
44.09099,46.57006,42.70601,42.40394
43.61200,260.87689,30.77984,508.37708
49.64495,872.25795,21.00015,365.16500
1688.46011,68.38107,43.11204,70.52994
44.90709,619.98010,28.32699,138.44204
266.69192,607.67102,112.42509,183.80809
45.15100,44.10100,191.34808,397.75586
408.59294,50.06289,100.69680,69.28802
749.25399,44.60979,73.37308,101.67503
49.55816,435.28295,30.95412,331.19917
2048.62714,339.43796,43.92791,43.84208
730.89194,1036.58199,203.66812,223.46306
44.27600,45.63904,283.34808,73.65108
44.97194,1165.42196,27.22096,212.06903
48.17414,303.76792,22.83812,157.47499
361.64403,45.39680,128.10111,72.47400
56.56910,119.21787,47.13893,132.63488
43.95294,498.60001,93.27507,63.96103
196.08998,493.03699,92.39316,377.08306
134.39608,43.88690,195.41502,85.92200
1761.13605,1087.32700,83.92906,370.19205
48.64907,47.03093,217.43608,419.95478
58.81310,49.89910,43.16592,46.15116
857.08308,278.83387,22.06612,675.97103
50.52114,397.57419,191.43200,0.00000
46.21506,353.78814,28.43595,42.43684
1745.89586,45.37010,83.13394,135.86307
50.73309,90.13700,104.67386,704.26011
52.77514,1364.72011,344.73491,95.13807
1448.30418,97.50915,182.45220,43.13588
46.82398,112.63204,104.22587,52.02889
1513.95702,207.99112,88.20295,44.14201
4087.87394,533.98800,42.93704,43.95318
2075.14906,122.15710,224.53189,43.99514
1228.71900,192.42096,23.74101,78.82810
46.81206,67.97910,142.87615,346.37117
52.29306,420.18104,117.28311,569.03386
200.25086,43.91003,213.96494,138.13305
46.37122,52.51122,120.69392,271.71016
959.49197,133.14891,192.34896,70.35589
59.61299,1218.61506,21.09289,256.14405
1423.46311,50.77815,46.22912,167.17410
50.05980,62.78586,182.87802,371.06800
1501.19400,542.09089,183.47287,46.01002
53.76005,455.77383,182.55115,556.03909
66.60986,156.29292,42.50693,419.79003
43.84995,47.81604,772.04895,63.93385
44.52109,50.88806,201.57194,64.83197
187.20698,54.93999,74.36705,139.76789
43.60604,67.00516,43.42985,45.59207
1240.31615,544.22402,52.36101,352.37908
241.16015,94.02108,83.34112,122.19596
81.28309,992.46407,51.72205,108.49595
44.55686,48.86794,43.93101,276.44801
1385.11395,50.74096,100.48294,216.63690
572.39008,44.97218,52.05798,93.66202
921.21196,50.45009,165.36498,80.45506
2204.91505,64.51988,45.25995,357.18894
280.01809,45.20512,51.11408,44.10601
