# p1 - c1 sync,p1 - c2 sync,p1 - c3 sync,p2 - c1 sync,p2 - c2 sync,p2 - c3 sync,p3 - c1 sync,p3 - c2 sync,p3 - c3 sync,p4 - c1 sync,p4 - c2 sync,p4 - c3 sync,p5 - c1 sync,p5 - c2 sync,p5 - c3 sync,c1 - p1,c1 - p2,c1 - p3,c1 - p4,c1 - p5,c2 - p1,c2 - p2,c2 - p3,c2 - p4,c2 - p5,c3 - p1,c3 - p2,c3 - p3,c3 - p4,c3 - p5
25.97213,27.27199,25.81000,14.45103,16.23297,14.03809,88.38487,88.32693,88.29594,70.65105,70.51921,70.70017,33.17499,33.14304,33.75506,25.01607,24.74284,21.84415,21.91305,22.30000,23.56696,22.21107,21.98696,22.15505,22.27902,25.51413,23.78201,21.97599,22.11404,21.99388
21.84105,22.39299,22.50695,61.18989,61.41782,61.22088,12.63785,12.95185,12.57682,82.27420,82.36718,82.58009,27.81320,27.81415,27.88401,26.76296,22.14599,21.87705,23.53406,22.07685,26.17121,21.80696,21.64507,23.50521,22.58515,25.96688,22.03202,23.09799,23.30089,22.13192
22.27497,22.53103,21.75212,44.44313,44.10505,44.48009,12.67099,12.80284,13.81397,43.01405,42.67406,43.05005,51.56422,51.44620,51.35202,21.40999,21.26479,24.32203,21.15202,22.01390,21.41690,21.89398,24.30701,21.79289,21.94095,21.95191,21.31200,22.81117,21.19398,22.21012
49.07608,45.95399,45.71605,50.31896,47.18018,46.96012,71.39206,71.23804,71.07592,25.80905,25.32315,25.06113,76.82300,77.29316,76.80106,20.43009,20.51592,22.54391,24.35923,23.04697,22.55797,23.04101,22.62402,22.55011,22.58611,23.70191,23.77200,22.54891,22.25900,23.07606
67.88206,67.95907,67.85107,46.97990,46.60296,46.33594,11.93500,11.67083,11.72090,23.35286,22.74179,23.43297,53.86710,53.94411,53.83611,22.47906,23.09990,21.81792,25.33817,27.17900,21.82198,27.17495,22.09401,26.00884,25.72799,22.09997,25.42496,21.59286,25.52986,25.51913
95.28303,95.22820,95.76797,35.29906,32.28211,31.43907,58.51698,57.00397,57.20305,72.10994,71.93995,72.12806,38.48410,38.67006,38.47694,22.57800,18.75710,20.95699,22.19892,22.93301,22.54891,22.10188,22.74203,22.40205,23.21005,22.04609,22.64881,23.11897,22.20798,24.00589
67.33322,67.32917,67.85512,45.80212,46.00501,46.37909,11.63507,11.94000,11.82103,24.94597,21.90208,21.66796,51.55993,51.55301,52.08111,22.54319,21.66200,22.17221,18.25213,21.94095,22.67790,21.48390,22.29500,21.29388,21.94786,22.03107,21.08192,22.32695,21.53802,21.57903
83.80985,84.66291,83.83703,22.98808,22.68505,23.14997,12.92801,12.30121,12.65311,44.93308,44.44218,44.64412,51.60689,51.71490,52.29497,21.40307,21.45910,23.51999,21.87204,23.04292,20.57099,21.68894,23.13805,22.33791,22.90487,21.42310,21.13008,24.23191,22.16721,22.52698
64.01587,63.45701,63.81392,27.21906,26.01409,25.69199,15.33794,14.06193,13.03196,63.36904,62.80804,63.16710,29.38414,29.85406,29.77800,21.79384,22.60089,24.94001,21.08908,22.04490,22.34817,24.63698,28.57494,21.62790,21.48890,22.07685,24.67608,28.40900,21.26002,22.23802
68.98308,68.87221,69.48209,24.57690,24.38688,24.49989,13.10992,12.91203,12.99095,70.02997,69.93103,70.47009,28.51391,28.55206,28.81098,24.84202,21.21902,24.20497,24.24598,21.63005,22.31312,21.29507,26.92008,22.62712,21.61598,21.85702,21.31200,23.31710,22.43114,21.36087
