# p1 - c2 sync,p2 - c4 sync,c2 - p1,c4 - p2
22285.94398,35104.58207,263.30113,45.63498
36.72695,49.21579,49.61705,48.16294
25.92087,31.57496,47.39285,74.03803
28.24521,24.24788,48.47097,46.94009
23.79298,23.43297,46.76604,46.03601
23.71192,23.14019,43.40982,46.22602
22.89200,37.89783,47.90688,44.74783
24.94407,1350.06809,45.40801,56.14901
30.70593,215.84606,230.78108,47.55616
26.68595,72.14808,58.75802,44.13581
23.63992,23.80300,117.60497,43.48803
24.82009,25.81596,43.40291,48.39897
26.89910,30.92289,43.76292,47.90878
23.15593,23.00906,74.30696,43.79106
23.89598,31.02994,42.73701,42.80090
83.98008,31.48103,43.84208,194.59891
448.76409,23.21792,21.98410,43.10894
26.28708,23.14806,66.48588,93.63985
89.94317,98.34814,43.98990,43.75196
75.96707,22.92585,43.75100,50.28200
25.00701,24.64199,68.95995,47.64390
23.89193,23.25082,45.94493,203.48501
30.59101,22.71891,44.52395,44.22498
37.81080,33.77795,44.72399,44.07811
27.08507,22.80807,42.55700,50.78197
62.63185,22.23611,43.18190,43.71691
37.41097,76.91908,48.33198,45.67385
26.46184,67.87109,43.54596,40.15803
25.24900,75.90103,56.04005,45.24493
29.41895,33.36096,49.31211,53.56193
23.87714,32.77302,59.44490,60.12106
25.68698,41.51106,61.03992,47.60909
22.77803,23.50998,42.74011,43.62202
40.94100,34.64603,46.26107,43.42103
49.54481,51.94998,46.53001,46.37194
28.27883,22.90010,47.51611,42.77396
43.40506,29.30188,45.47405,45.00604
28.15199,43.71214,47.92380,45.11189
40.44199,298.22087,43.74385,21.22211
22.95017,23.39888,44.17586,44.93904
25.67005,27.29893,45.09521,45.49384
29.55604,28.86701,43.30111,46.71693
148.98705,149.53184,52.16599,52.41203
39.39199,25.31290,45.35699,50.71211
23.42892,24.00398,45.64285,45.88699
28.76711,29.83284,44.31295,47.70708
26.09897,23.66209,46.05603,43.80298
22.55082,23.50307,43.93983,46.48805
23.96297,25.73419,44.80815,220.38698
22.94707,22.92299,183.47907,44.40713
25.96402,24.57190,47.28103,209.11288
45.26806,26.38698,46.18502,46.07296
45.84908,66.23602,42.69385,46.03696
23.05317,22.74609,44.80696,50.85421
23.46516,30.96318,65.65619,45.67814
641.53814,22.05110,147.42708,64.71896
45.12119,22.11690,43.30611,53.61104
60.64105,61.01608,47.05501,45.91799
23.11683,23.42391,45.41588,43.97798
26.86310,37.65917,50.94409,50.66204
22.70794,26.90506,42.86385,43.62512
28.37205,29.81591,45.74800,45.43400
30.53498,72.35003,44.57998,48.28215
24.72687,1175.15302,44.14701,23.88406
27.14300,27.10295,81.15506,63.74288
25.32911,25.80786,223.70005,52.90508
27.59981,22.61400,47.18494,67.31296
28.14412,54.93212,50.42696,44.18802
24.29390,22.60113,44.89493,45.67790
23.15593,24.80888,185.95099,48.96998
33.48303,940.12308,93.52016,43.12301
39.89100,24.03808,46.81206,117.19513
23.83089,23.54407,42.29999,43.45012
23.16189,26.09205,44.57402,45.26806
23.41700,24.04308,42.87505,44.10791
41.01181,22.56894,44.70301,52.03199
22.86100,23.06390,63.45797,46.14019
26.51215,23.19121,44.47603,81.76398
23.02098,31.83222,45.23897,45.96305
35.45904,45.04895,67.02685,47.87898
35.76398,36.25703,44.54207,45.99404
23.81587,24.90711,44.64793,58.40302
24.64080,25.71106,102.14520,48.39492
23.14210,22.91894,45.12501,44.78908
23.72909,26.20983,44.81101,44.80004
37.84990,23.65899,100.22306,43.79797
24.06311,24.45006,94.55991,44.01493
24.37782,31.44002,45.36009,44.79909
27.34685,43.93506,46.35310,44.56210
34.69706,45.78614,57.73497,236.05490
27.51803,31.74710,43.71786,44.02089
24.37806,346.56882,138.79204,138.26394
24.36996,82.53694,77.11005,88.61709
27.45008,30.00093,55.95303,44.02113
30.30610,24.88089,51.29099,51.85914
105.85499,30.12204,104.38609,103.81389
23.66996,44.94691,157.78899,146.39115
34.27291,52.30403,50.41718,46.94891
26.01719,332.42106,47.65296,49.69382
23.46301,23.60892,47.37306,46.42391
22.97783,131.11901,45.79496,193.93802
21.96002,73.65108,49.95108,44.39282
27.36306,63.28106,44.39998,51.60904
24.97411,29.05083,45.59207,44.68703
26.29590,28.89395,43.36596,77.83103
21.85488,71.10500,42.79184,114.42208
25.10905,40.18688,121.25802,158.28300
25.53296,128.75509,76.36499,48.25997
270.43104,24.25313,24.09410,44.96193
24.77288,772.23992,44.62194,43.65015
23.33403,23.22292,84.59210,136.27911
26.17311,22.94993,48.36202,46.27395
27.68397,62.27589,68.67909,185.46700
29.92702,28.55301,43.22505,91.60495
34.85608,65.75704,43.64300,143.25094
30.34306,30.04217,149.11819,70.63413
25.38490,23.22292,67.32202,185.92501
24.64795,24.48297,44.74902,44.77715
41.90421,23.23914,44.66200,45.70913
29.59394,30.44510,46.24414,42.35101
62.45899,289.30688,76.59316,22.93611
77.81601,2036.04198,69.54408,22.34483
56.24795,33.14400,44.80505,45.24708
31.63981,39.29400,86.75003,83.66585
47.24312,34.69205,44.12794,152.51303
34.33704,24.74689,43.75100,43.20407
29.14596,28.31984,44.44695,187.72483
26.20912,24.52421,44.17300,48.53082
24.48201,32.78399,44.44695,44.48009
24.74499,24.54805,50.26007,46.47493
24.29199,37.59694,44.37208,52.61397
22.97592,22.99595,131.19912,171.96608
23.98205,23.29707,43.85805,76.95603
22.55797,43.97893,44.31510,45.09401
28.44310,25.35009,82.47209,129.32205
900.50411,35.28619,44.82007,46.40007
23.72909,26.74413,43.49709,43.90788
966.06207,25.37012,22.78590,43.84995
33.10180,70.94502,43.64491,49.89600
24.74618,24.66202,43.17689,194.76914
24.08504,24.13988,86.06601,84.07998
21.72208,22.74990,44.59596,91.17913
24.09315,25.17200,45.30001,46.70882
23.66400,23.78798,46.94700,43.69092
23.36311,22.59183,45.31598,45.02606
22.43185,465.95192,50.97485,46.32807
22.23897,23.15998,44.55018,44.64507
22.89009,41.62097,143.94808,44.63601
30.81393,21.95096,48.28787,48.79284
30.45297,27.18496,119.27605,84.54394
22.67194,31.20399,174.32785,166.89801
22.99905,77.36897,47.29295,46.27299
