# p1 - c1 sync,p1 - c4 sync,p2 - c2 sync,p2 - c5 sync,c1 - p1,c2 - p2,c4 - p1,c5 - p2
12282.73201,42151.71790,22536.54099,45174.03102,570.04905,161.84402,69.99302,166.25690
48.95496,85.69694,86.77483,48.99287,48.89512,44.09385,157.74322,59.54504
37.07290,37.42290,42.75084,42.68098,46.88120,74.34201,46.66591,275.59209
39.45112,40.38405,36.53598,60.95695,48.78497,68.65406,48.35796,44.37399
35.05492,69.55791,69.46397,34.44409,46.73696,43.88094,44.17682,46.76390
34.98292,35.42304,34.56807,34.66105,43.33210,45.62497,43.05911,45.75610
35.31003,35.19583,48.82383,482.28788,46.99898,186.64503,47.69492,118.60108
36.50093,36.60798,1362.01501,2236.37795,44.83080,55.57919,44.43502,43.80894
326.83396,41.60810,230.02410,326.34306,29.76179,44.18111,229.85792,43.77198
37.89711,38.15293,82.79204,264.40120,58.98380,44.52109,58.53295,49.64399
35.27999,34.64103,34.22403,34.42192,118.04199,44.12293,118.51811,43.63608
34.90400,35.45594,37.64701,37.50491,45.04204,68.08090,44.41500,274.30701
37.98914,37.98509,44.71993,44.75594,43.50090,44.89613,43.61701,320.09101
33.45394,34.03497,33.77295,33.84900,75.20604,51.14698,74.17703,217.67616
35.12692,34.64603,41.30602,41.42308,205.91998,43.29705,42.53292,43.15591
95.24298,94.96999,42.08112,42.11211,43.80178,65.12308,44.03591,65.06395
460.03890,74.76091,243.30497,34.04593,21.88206,22.02106,64.96215,42.38296
36.89408,36.71908,34.16896,34.26313,66.83183,93.74905,66.65301,93.24408
100.59309,100.55709,108.74009,109.17616,44.31701,44.29913,43.86592,44.08789
1129.09198,86.97701,33.72598,33.42080,22.80116,51.93019,43.55907,51.62787
37.24098,1215.02900,71.64192,37.30392,71.45500,46.92698,31.16989,44.98100
35.84790,35.84599,33.72788,674.11685,47.07289,43.73789,47.19210,331.92611
41.00609,41.48197,33.20193,44.60287,44.96193,43.98894,45.24803,43.23101
49.02792,49.44992,44.43598,1149.45102,43.94507,45.05086,44.47985,68.56203
37.42194,37.19592,1181.34785,35.82692,43.39504,22.85910,43.48207,54.76999
73.47298,74.46194,32.63688,55.13191,43.06602,44.93594,42.10997,45.26901
51.51105,51.32198,88.79209,87.86893,49.20292,44.08503,49.48187,45.07804
36.69786,164.13689,45.45808,45.65191,43.66398,73.94004,22.23301,73.72093
38.74302,38.77187,86.39598,86.80701,53.76005,103.65582,53.89404,45.19010
40.84802,40.94291,48.60401,1584.13196,53.55906,48.96402,54.48604,85.05297
35.09402,95.10803,81.13694,43.43796,59.93891,47.95694,47.26601,251.18303
39.11185,39.60705,60.67801,73.76003,60.57501,44.94905,60.26101,43.19882
33.52189,76.55811,56.00500,33.68115,42.72985,43.70904,43.64181,207.63993
1046.89479,51.98479,46.06390,67.51490,24.06597,42.75799,45.49098,43.00714
61.55396,107.24401,87.70800,65.14001,45.16411,44.02804,44.27290,44.07501
40.88998,40.18188,33.39601,54.43907,45.40682,42.60278,46.12994,42.67097
176.44596,55.05013,40.23600,40.26604,70.49799,173.77591,49.61801,44.26599
38.93709,39.18409,55.99713,77.16298,48.09904,43.18714,48.08593,42.60588
1277.65083,304.79479,33.42581,33.22291,31.75616,65.85193,39.37984,65.56392
34.18422,66.94007,68.57085,35.39991,43.43796,44.81006,44.96503,43.70189
37.20617,37.78100,38.80692,38.89585,49.66497,44.53301,49.20793,44.02304
40.79509,40.79509,41.49699,41.57710,48.48599,45.37392,47.86706,45.42613
160.95209,201.34211,203.16696,163.29002,49.69883,93.65201,93.91308,48.87104
51.07403,50.54402,41.36491,41.88585,44.21210,45.98498,44.90399,45.35890
35.07209,69.94390,92.44895,34.62100,46.39602,53.22599,44.96503,46.61798
39.31093,73.02904,76.81799,40.65204,44.05308,53.29108,52.65403,47.40000
37.78195,37.98103,34.78312,1231.73213,45.71009,42.70506,45.15195,42.93013
33.15783,67.41190,69.28611,35.67314,45.44997,44.49606,42.88387,45.97998
36.27896,69.18788,74.05710,35.98118,43.96319,45.18890,45.18795,49.05987
33.56218,67.20519,66.42318,33.65898,215.13987,47.64986,47.25218,44.04616
36.39913,72.67618,71.11788,34.31487,48.37084,45.47501,46.14997,71.39397
56.82111,57.27720,36.95989,37.02307,47.29700,47.36996,46.46397,47.21999
1179.15106,57.06906,77.29101,77.37684,24.20402,45.61901,182.97195,45.77303
35.07614,34.35016,36.69405,36.65495,44.51799,47.55902,45.35389,48.25902
34.14202,34.72614,43.03598,42.82308,66.20288,44.05713,65.11903,44.42215
737.14805,1091.13097,675.96412,33.18095,62.56509,36.00001,184.80301,67.40212
55.56417,53.43699,34.02281,33.91194,43.52903,52.87981,220.02983,52.68693
72.99900,129.14419,107.69916,72.67809,44.73495,42.86599,43.47992,45.67099
34.61289,62.24394,73.76289,33.83803,44.37780,42.92202,42.54413,43.86902
44.21592,67.13510,99.04099,48.37799,44.11387,43.83802,43.60509,50.61793
33.05197,32.88293,37.96005,60.10699,42.86599,44.01398,42.95611,44.66200
40.17305,40.43198,42.32693,53.58505,46.07391,45.18294,46.12994,45.01605
40.44104,40.56811,890.94496,84.37800,46.05293,22.37082,46.01789,46.65613
35.80689,36.07202,83.21095,1188.63297,43.10822,68.52198,43.02502,75.16599
38.62214,39.09016,56.66518,1966.12906,81.52008,44.98005,81.61879,53.80297
36.04102,35.71916,39.24394,1176.38803,224.14684,50.48108,224.68781,43.10703
43.01691,42.37890,33.69999,33.54692,42.10091,66.91194,42.78207,67.04998
43.56003,43.76602,65.81116,65.83309,45.73894,44.24906,45.47811,44.42620
35.63690,35.58397,33.86807,33.82111,44.78312,46.03219,44.66605,386.55186
38.55205,38.07092,36.31997,35.91394,181.59604,47.75596,148.66018,48.48099
45.78996,45.95685,43.28418,43.32304,96.10581,114.54010,96.24386,114.69889
51.14698,53.07817,35.10499,57.50895,47.77002,116.78004,45.58301,94.45000
34.52206,34.57999,34.22093,55.78208,42.23108,42.86981,42.35601,42.65809
33.37693,33.39887,38.02800,59.97801,45.02916,44.24906,44.28816,43.16497
34.28698,67.59787,66.88404,34.58500,43.81084,45.57896,44.63100,44.24882
53.24197,52.73604,39.23798,39.68406,43.49113,45.86196,215.75212,44.84820
34.10006,34.12819,34.51586,34.09195,63.77697,66.45608,63.94005,45.67504
38.46121,37.74619,70.91403,93.10603,43.12801,52.26088,43.68997,43.55383
37.09912,37.66799,42.12904,42.58513,41.51106,46.93890,42.72509,50.33398
46.85903,47.07408,59.36980,59.41200,66.57410,44.78192,66.35213,210.25586
46.93413,46.79894,47.71900,47.63412,44.44194,45.55392,44.94786,44.77286
34.77883,34.73401,49.77107,130.30100,45.36510,45.21990,45.08495,43.53213
86.94100,87.13698,35.95304,35.84194,51.26905,47.42193,51.34606,47.52302
34.15918,1115.54098,88.85694,34.14202,43.56122,43.48207,23.63896,44.05904
34.26600,169.65508,36.67784,36.89289,45.06302,79.41794,79.35596,79.43010
48.72990,48.72489,34.47914,34.51395,101.96114,46.41294,101.77612,46.13709
35.56705,35.01606,36.46207,35.27403,94.89298,42.97185,95.26896,226.02606
34.84893,34.93786,42.34099,42.45210,46.14496,44.22903,46.42987,43.92099
39.19697,39.63590,55.03416,54.91304,45.03798,44.73996,44.61789,44.96408
50.10986,49.97802,1288.93209,126.98817,204.70786,21.95001,102.41103,165.24696
38.33318,38.59806,42.64998,63.36498,44.44122,43.79487,44.13486,81.98309
34.43503,485.37207,163.28382,34.63483,184.34000,46.13996,28.68795,163.68699
36.45492,89.63895,183.68006,93.90497,222.87107,82.55601,45.20702,89.07294
38.11693,38.05900,40.82799,40.40504,55.96399,44.86108,56.20885,45.60590
40.76195,68.06707,90.53087,37.69898,52.38390,155.64108,132.48420,51.57399
117.14506,117.34104,45.18390,448.97795,104.16818,158.88095,104.38800,74.22590
34.81698,35.58397,179.44503,178.22194,158.47993,92.31114,157.47905,246.45185
45.61996,45.70293,63.98082,87.79097,50.61197,46.62299,182.83892,43.82586
36.56816,413.91897,42.89007,42.16719,48.58088,65.40203,100.55304,66.24103
34.96099,70.39499,70.31107,33.92386,47.64080,44.57879,44.38496,47.41001
34.13391,34.04880,177.54102,177.40393,115.80515,126.12605,184.02886,125.94414
33.68688,33.93102,84.58400,557.15704,185.23407,51.04518,270.02501,44.88182
39.11304,39.08706,73.92597,73.94004,44.21282,51.95498,44.21711,51.89300
35.94899,36.18002,40.20286,62.80184,45.12715,50.83394,46.18311,49.63088
36.79705,36.70096,74.50008,74.49603,43.50495,42.81592,42.77396,42.50193
32.59993,32.28998,82.12209,81.97498,43.89191,155.58600,43.51306,155.61199
41.65888,41.90207,52.27494,51.93591,114.87985,158.30112,114.75897,158.57697
42.07516,42.56105,140.36298,140.18106,70.40501,47.77002,245.30315,47.35804
280.73096,50.78197,35.42423,35.01821,24.81699,143.09001,141.75105,143.86892
36.61084,36.21984,783.08392,783.02097,43.60795,43.30492,43.92481,228.27315
34.33323,34.36112,35.36606,35.12692,136.10911,134.70292,136.07907,135.22005
41.93401,41.82100,34.63888,35.15482,76.01881,143.05305,76.03621,112.64801
39.50500,39.12711,883.34298,86.80296,67.19398,23.28706,67.82508,98.00196
174.71409,40.35902,86.58886,86.38287,37.78505,81.15602,49.55006,44.48605
757.32803,46.88096,77.81911,78.36604,39.93011,142.48919,42.27209,142.08603
41.71991,41.47100,41.94522,41.90421,161.31711,69.56601,182.49106,69.66996
617.70296,59.37982,34.85799,34.75785,28.06902,125.85402,109.68709,126.19209
36.15093,35.66599,36.25107,36.11112,69.27204,43.57195,69.90480,43.83683
53.65610,53.77221,34.30915,33.63109,43.41316,44.90495,43.54191,45.63498
41.31889,41.31198,40.83610,40.79103,45.65811,43.15782,45.78209,43.22791
80.02806,334.90896,58.47788,143.20087,132.54499,149.74499,34.93810,65.06395
89.56504,90.03687,68.50886,286.79395,71.67792,124.97401,71.34104,83.81200
68.60590,90.90805,44.64507,43.82610,222.36395,44.85106,43.51592,243.80589
86.12800,86.53784,51.01204,50.23098,66.66398,82.89886,66.34617,83.75907
58.48598,59.42512,46.90099,46.57698,58.16793,152.76384,57.59501,153.64718
45.46618,45.75419,35.43186,57.64985,42.92703,43.91098,43.48803,60.81390
40.39907,40.41290,39.02602,65.26995,47.31512,99.76292,47.15204,73.33016
37.05812,37.60910,35.72917,35.78615,44.41404,50.08101,44.51394,49.94416
35.32410,35.18915,43.89596,1180.00007,43.91599,44.55209,44.44408,117.18583
36.44800,36.64804,35.66313,34.98006,48.82312,46.23413,48.96498,47.28103
35.31909,35.32815,48.40899,48.60783,43.95008,52.59395,43.94889,52.50001
34.04689,33.54001,34.17206,34.03997,131.99806,171.42105,132.05695,171.78416
1022.45903,34.81412,35.13312,35.17103,98.59300,76.67184,44.72399,76.68900
33.64611,33.66995,54.38709,54.16393,43.53189,45.59183,43.65587,45.91107
38.71608,39.08300,119.63511,119.57192,313.46917,48.08402,83.78196,48.13385
911.76295,36.20195,46.35906,46.21100,59.12685,46.19503,196.94614,46.07391
34.55901,34.35802,37.76908,37.47416,44.21687,44.48700,44.13104,45.56108
977.52500,36.31997,37.49108,37.33706,31.11100,42.94109,189.15796,42.76395
45.23396,44.31295,86.45892,85.44207,42.37604,46.57197,43.32113,47.08791
35.56800,36.37719,36.54599,36.39698,42.22608,76.47300,53.28703,76.51305
76.01595,76.47586,35.73203,36.67688,44.76786,84.02586,44.75498,82.80492
2558.92801,32.84311,79.72097,79.86593,30.66802,44.10195,44.11292,196.54512
480.29613,36.07392,36.32903,36.26204,30.81107,46.36693,44.47985,46.08297
35.34508,35.27594,35.38394,587.97812,47.25218,43.42079,232.96094,121.09208
34.99103,35.51912,33.94079,34.12294,45.06493,66.92696,44.44695,44.48605
33.67591,407.03702,35.08902,34.80697,50.30203,69.28492,29.62303,69.36812
33.22196,33.14209,34.91116,34.62195,45.28308,43.70284,45.37106,43.87093
33.77295,33.77295,54.49390,53.84398,144.36507,43.52188,144.33599,43.93792
43.94579,962.13484,308.19392,32.79686,46.17310,112.29300,24.43695,53.64799
44.06786,44.01994,37.65297,38.33985,116.33682,85.68096,134.86505,85.63805
35.28786,35.05707,42.22083,42.34385,173.04111,166.70108,173.23899,166.93497
34.77001,35.24804,88.92894,88.78899,47.38283,44.95502,46.70119,45.36295
948.54498,69.62514,37.28509,37.90498,22.65406,47.97721,58.94208,47.23287
33.83303,34.39116,112.62512,112.75101,45.09187,51.23711,45.01200,51.12600
35.19201,34.57499,33.96797,33.79011,96.53401,44.72113,97.30601,44.52682
33.78391,34.55496,41.75305,41.42904,296.51403,46.50116,50.66013,46.60201
33.84805,35.62689,33.96821,33.80013,44.51799,100.30007,42.76299,100.51298
37.44006,37.92405,34.63888,35.56299,44.56997,47.28293,44.13104,45.27116
51.41306,51.16391,38.10000,38.09404,45.34912,46.02599,45.53699,184.61204
35.95781,36.23581,35.36105,35.51316,45.04704,197.95609,44.98816,149.97602
34.33800,34.46007,40.75289,40.58695,62.68501,44.07001,62.52408,44.00492
34.95693,35.97093,72.42417,71.39015,107.07307,43.84017,106.41599,44.89994
35.07304,34.30915,118.58296,118.52098,43.47515,182.00302,44.18421,46.62013
35.44402,35.57396,32.61900,33.14805,42.58180,123.00205,42.52100,221.75002
37.44102,36.81898,424.27301,447.53695,44.69204,45.11905,44.75784,335.11305
33.68783,33.73599,35.28905,34.34610,45.34578,42.73510,45.22800,230.20506
42.42015,42.48714,34.15489,34.01780,45.29190,49.36409,44.60406,220.51406
35.28380,34.93690,46.16690,45.88699,43.33305,56.68998,43.87999,56.62680
112.06198,112.82682,34.29198,34.81388,43.45989,63.35998,42.58800,62.41488
34.20901,33.73384,34.65080,35.39991,44.09695,50.17805,44.71207,49.17598
35.10690,34.82985,58.74181,58.58779,46.20695,47.99914,46.67997,47.96791
33.21004,33.13112,65.25612,395.89906,50.45509,43.57409,209.13315,44.98005
35.40397,34.70182,37.68301,37.17709,43.44797,133.13794,44.04807,42.91487
35.33411,35.42113,35.22515,35.48503,43.08510,43.33711,43.42818,42.80996
33.84399,33.52213,39.45899,39.50000,41.68892,52.77801,63.38787,52.44398
34.24406,33.91314,34.54018,34.50012,42.79208,48.81716,43.11800,48.77114
36.23915,36.24010,42.21416,42.21511,42.53507,103.30510,42.66810,103.30296
1002.88105,178.04193,37.69803,37.70995,31.68321,43.96582,45.16888,44.13581
34.90806,34.83200,381.58298,34.47604,44.79194,44.63792,44.88420,45.04585
53.70212,53.82395,45.55798,44.83819,49.81518,68.44306,49.48592,43.36500
48.80905,48.65503,35.78019,35.73418,44.86918,43.40410,45.32099,43.46704
33.69999,33.64277,34.25193,34.17993,100.43001,44.55400,100.14391,44.89088
58.33507,58.02011,32.85789,32.82094,137.79211,45.70508,138.08107,205.24216
38.53989,38.66100,95.19196,598.19388,101.36104,123.30818,101.42303,136.27291
148.81897,974.95413,342.84902,33.21886,202.87490,22.10593,48.08307,88.43303
103.42884,102.93603,42.19294,42.20200,99.00689,45.97807,99.33591,45.46881
34.73401,34.14488,38.84792,38.89489,43.23792,44.46006,43.50901,44.48915
34.12700,34.17206,34.53088,34.23381,44.73090,76.57909,44.70897,76.41006
41.47601,41.46004,35.56299,1026.02792,129.38380,107.77307,129.53305,58.47287
37.29105,37.37307,35.65311,35.65311,65.39202,185.00495,65.37104,84.98001
34.93714,35.82716,43.06102,42.86504,43.11800,44.88111,42.38200,44.85416
69.11206,1947.60013,37.63890,36.63397,44.32201,44.28387,62.46209,45.03703
39.64782,39.06894,34.63101,34.57594,44.83891,180.34792,45.20488,180.67598
41.46910,910.07996,34.37304,34.27911,45.39895,45.41612,79.21791,45.51601
225.13390,39.05392,34.77883,34.88398,22.35603,173.41113,127.32100,173.27785
286.10015,286.10015,34.52706,33.82516,46.55194,66.32113,46.55099,67.16418
41.39590,41.36992,64.39495,64.41212,150.48409,94.78307,150.48885,94.76805
37.67014,37.61411,56.28395,56.29396,82.64494,87.44597,82.80993,87.59284
1042.31119,89.14208,47.91498,47.73903,72.11900,45.37201,88.38892,45.41087
91.08710,91.61115,41.95619,41.73422,228.83701,43.90097,98.64187,43.76507
33.27394,33.14400,83.95004,83.51398,107.93519,45.00318,108.03890,347.62502
106.14181,106.63486,43.41388,42.75703,213.22083,44.12317,49.78395,44.60692
34.08194,34.36494,38.19704,37.21285,45.90607,42.83094,45.65501,43.74409
45.45498,46.02098,35.70008,35.50100,61.56301,44.59405,61.17702,44.70706
36.20911,36.32498,36.66592,36.62992,48.43092,45.55202,48.58708,45.94922
35.55202,35.22110,41.33415,41.09907,44.07096,64.55898,44.46912,64.73112
37.57596,37.57596,57.77884,247.16187,47.04189,45.70413,47.20306,91.81499
41.07904,40.83800,39.84284,39.87885,44.17300,74.88513,44.24095,74.82100
35.94804,36.05509,122.19715,122.42317,46.86904,44.50703,46.84615,44.31987
32.88603,32.88603,72.17503,72.14499,133.95500,48.32602,134.15909,48.48003
53.00903,53.09606,40.95697,41.08310,58.38799,44.08598,57.62911,43.96200
41.95213,41.95714,121.96708,122.09201,46.17500,49.20101,46.27204,49.08586
103.45507,103.60813,33.28705,33.51212,150.38300,49.60108,150.21610,49.52908
84.54204,84.20205,38.49506,39.03604,50.76694,44.17419,50.82202,204.58388
40.74478,40.59982,107.66482,107.24092,44.19398,47.25885,44.70778,241.78481
69.89002,69.23485,39.98113,40.08698,42.75608,49.48378,44.27695,49.27707
38.60211,348.00601,53.59912,53.43914,45.35580,103.91593,198.91691,103.71995
975.76213,36.73410,52.92416,53.00403,21.66510,44.23785,65.94205,43.84279
39.58321,39.67810,34.97100,34.63316,44.79790,45.49599,44.66200,45.88103
34.69491,34.53803,378.83306,1862.32400,47.11103,44.03901,47.15896,71.77281
38.78021,38.07116,36.69810,36.11898,44.86489,44.36493,45.53604,44.83700
35.19988,35.67100,33.42104,33.60701,44.16299,44.98696,44.00897,211.84087
33.65302,34.29604,33.29706,386.67607,45.53294,42.64498,145.74790,156.31986
33.54406,33.59604,49.70694,50.12107,44.61718,43.92505,44.43812,43.96200
91.85195,35.34102,33.88691,34.15179,22.38297,42.83714,44.76905,42.16790
710.11615,34.54614,52.49095,51.96285,22.34101,137.81404,61.77998,137.86697
39.05201,39.43491,35.81810,234.72095,43.68901,47.74904,43.07985,65.43803
34.81102,34.82580,33.52690,33.71382,43.65706,43.57815,43.63799,43.33901
62.47592,613.96599,33.87904,33.43916,42.82904,43.58006,111.91702,43.28394
44.47603,44.41190,33.89406,33.50401,43.96892,99.54906,44.04902,99.64895
140.56897,35.42304,534.34706,60.34088,21.84606,22.25614,63.38000,339.25295
34.46388,34.91187,44.05117,44.56806,44.85488,45.00008,44.31200,44.60597
55.43590,54.54493,450.37818,474.13111,43.70904,46.44108,44.45815,44.08407
33.69308,33.75101,33.86378,33.80179,45.74203,47.79506,45.40706,47.80602
34.48892,34.32608,34.32608,34.25002,43.49208,44.06786,221.65704,44.08193
104.12407,103.65415,38.64503,39.22510,44.36398,66.45489,44.84105,43.67614
44.40188,44.07597,86.30896,86.19404,42.43088,43.19119,42.84811,254.85587
