# p1 - c5 sync,p2 - c1 sync,c1 - p2,c5 - p1
52221.16709,22606.29797,113.77907,197.17312
97.34797,98.30093,43.59198,158.72478
47.85991,53.56598,213.91296,46.80800
53.13516,48.00797,67.73210,48.35486
81.35891,81.20108,42.61303,42.64402
46.07201,46.00120,45.23587,44.36088
392.95387,60.29487,164.58011,111.07612
47.76907,1374.87006,54.10409,44.79098
306.39505,325.62804,22.21203,50.91786
300.54307,93.90402,44.49606,214.54310
45.72010,45.26782,43.60604,119.29297
46.84901,47.85895,68.06207,44.32702
48.17605,55.48286,45.27807,44.18302
44.94596,45.40801,50.58599,74.29600
45.50004,52.96588,376.13320,43.00618
106.19903,53.85709,65.19699,43.42198
85.58893,254.52399,22.54701,64.83006
47.64199,44.88111,93.60814,67.29984
112.16998,119.01712,44.42692,112.68711
98.84810,49.25299,46.96202,42.01388
82.58414,82.02696,273.37909,149.24288
648.34595,45.56894,42.44494,88.20105
53.49493,44.92497,43.02812,44.09504
61.51795,54.74901,45.30501,43.75410
47.63198,1191.57505,76.70999,42.98210
84.33795,43.00094,45.96996,45.34602
61.40900,101.38798,41.75186,50.41003
47.97792,56.52595,74.03803,70.53399
49.53790,98.06108,102.48089,53.56908
1614.43686,64.55994,44.47198,85.13999
106.57597,92.83686,47.28794,46.28897
50.70806,73.62509,43.75601,59.63588
87.71992,1070.30106,21.40498,43.15209
65.10186,1030.09796,75.67310,43.24818
118.14094,98.16194,44.37304,43.75196
51.89085,43.72811,42.87291,46.01312
65.34600,156.11601,68.18509,54.90780
50.36616,988.49511,31.51202,47.07098
62.83593,44.26384,66.07699,242.03300
77.90613,79.20384,45.23396,233.97207
48.69318,50.31395,43.45012,49.50500
51.14293,52.34909,45.48502,49.49117
211.66110,212.58092,214.76603,94.77305
61.88607,54.16989,43.87093,44.04211
81.17604,103.49607,52.87409,272.12095
83.63891,1129.98581,23.00596,53.55597
50.13895,45.78114,48.11096,44.03687
79.44202,81.42304,44.36111,292.88602
79.99206,85.50811,45.77112,46.16594
77.85511,77.78811,47.79482,47.76406
84.53202,82.53407,46.81087,46.88191
68.65120,49.59202,46.88191,45.86005
