# p1 - c1 sync,p1 - c4 sync,p2 - c2 sync,p2 - c5 sync,c1 - p1,c2 - p2,c4 - p1,c5 - p2
503.55911,34.16610,33.20384,33.07605,21.78383,49.83902,86.05790,49.81422
43.54119,42.28902,37.20689,2849.89595,44.79599,43.93411,45.87603,47.32013
43.04719,43.25509,35.96497,835.83689,205.82986,45.13597,512.97092,183.83694
46.31019,223.75607,36.21006,2172.51205,218.42909,44.50512,230.88503,98.22893
338.31978,58.94184,1191.43200,126.46508,514.97102,46.07391,70.52493,158.98299
44.33513,45.89200,43.36286,42.66286,281.92186,344.25807,56.52499,249.49908
36.54909,37.55903,35.58207,678.19500,45.12191,46.27204,44.68298,66.23101
40.44509,40.60912,37.73093,1102.18382,204.15998,225.78716,510.43582,139.11700
64.09717,64.20517,832.83901,252.72417,183.23207,92.80300,44.81006,72.27492
36.09204,91.11691,40.75408,806.64492,43.82420,43.98108,46.50807,43.59412
450.55413,450.55008,532.97091,1013.49282,292.68003,45.41206,78.10307,522.48788
398.96607,35.87914,41.00800,218.88804,31.42500,44.52610,44.56782,781.48818
525.21300,38.03611,80.05905,3122.22195,186.24496,119.20905,404.60086,408.41293
127.40779,36.45992,670.48693,1026.53098,46.59510,25.53487,137.66599,93.30392
324.44501,324.51797,36.17501,363.70182,71.05899,44.34204,71.22707,567.40093
34.67107,504.68421,48.37298,366.33277,515.21206,46.03004,57.50990,217.15808
412.61005,38.31410,37.84299,1770.82109,226.82691,67.43598,372.36881,58.35795
34.55400,306.36001,146.32392,146.03901,44.59810,95.28208,22.39203,183.88391
325.62900,375.03695,43.30492,42.75608,44.05808,99.67017,82.34501,205.70707
35.24804,776.03698,34.84488,34.35898,230.85093,66.92100,129.24409,756.38795
1619.05909,34.09815,1324.39184,34.96599,207.06797,22.52293,183.33387,85.03509
738.20305,602.89621,512.94303,54.52204,197.16191,112.00809,533.44703,217.57102
43.14399,42.77992,705.33586,2356.08196,183.35199,66.72287,43.55216,44.98100
3227.14996,39.77704,36.12089,2916.79096,22.23492,67.66200,214.04195,81.85315
1187.83402,38.75804,2098.59920,853.31702,45.60304,49.04914,112.46705,81.97498
91.52699,93.02115,62.29496,1474.60985,63.65895,97.16010,61.71989,44.79504
44.70396,45.15386,96.74597,95.65306,44.85011,47.72091,44.65103,48.37012
39.07394,2563.84897,77.38900,53.60103,284.44695,44.68703,213.58395,68.44282
