# p1 - c2 sync,p2 - c4 sync,c2 - p1,c4 - p2
14079.60105,21689.98218,260.21194,50.82703
23.23294,23.97394,61.28788,62.82592
27.64606,23.65112,50.44699,57.66821
23.04912,22.93491,44.11888,43.98489
23.55099,23.75698,44.99602,68.54606
1044.06309,37.55188,44.94596,55.46498
23.76294,36.32617,343.99104,43.95700
35.71606,227.45204,43.31899,376.55807
753.00694,24.11699,44.20114,76.16305
967.25988,30.22790,43.52593,50.04501
23.86999,23.66209,46.30089,43.75696
32.11689,25.29097,47.68205,347.18299
254.83203,2526.30401,56.43702,23.14496
390.02609,1520.84398,33.66399,200.72198
999.87102,170.34101,224.39194,211.17091
48.62785,158.29301,46.94414,50.79103
3198.70305,531.13008,23.23198,194.33904
1205.25718,29.38700,46.28706,45.89510
1178.16591,138.96394,268.16297,348.38486
23.10419,98.92797,73.70090,167.27400
28.78499,418.46299,45.28904,184.19981
350.04807,1765.15818,71.62809,33.37789
2560.86802,3258.45003,96.30203,67.87515
628.69501,1240.09109,240.53311,68.05897
660.57205,23.84806,22.59684,68.12406
24.59311,805.22299,47.75500,79.56600
182.82104,96.01808,23.71502,61.03301
56.24700,31.46505,44.88993,69.14997
24.39308,33.34713,45.46499,183.90799
25.17891,23.86522,45.42184,65.70387
421.16213,73.40980,22.02392,77.87108
24.14298,23.44394,57.48200,47.05596
1603.85418,27.03309,30.21002,44.63696
760.31208,433.74491,54.11911,136.50799
911.18908,27.66395,21.65294,183.92086
24.07813,23.68093,44.56306,89.15114
145.92886,476.81212,44.87014,34.91402
24.88184,3117.85698,44.29293,21.88611
29.57106,1064.74710,44.13486,191.93888
25.84481,24.02782,44.83509,101.23801
1104.22492,24.41382,62.08086,44.01302
2032.98807,42.44804,49.82781,50.13704
45.46905,1070.20402,203.80878,22.76707
166.73303,119.05789,44.38615,47.01400
24.50895,378.36218,47.01209,22.55487
41.05091,40.83586,66.15400,45.91990
23.71192,46.27299,42.88721,46.75293
35.36201,35.44402,45.91489,49.19815
24.50109,31.78000,67.30390,46.23294
27.05503,199.93901,66.35308,77.80504
49.77012,181.80799,91.87293,44.82889
29.01101,293.94102,70.33801,183.99787
25.95186,639.24289,51.58710,183.21419
1469.96999,24.20497,200.40011,425.30918
48.46716,1598.21105,44.99078,22.53199
24.56188,41.19205,210.59799,97.91303
788.05995,63.42697,44.97910,86.98106
25.23708,29.48380,182.06286,205.98507
947.14499,24.05810,55.41706,46.86499
23.41199,48.68698,44.84415,48.12503
32.36294,601.99499,66.34808,23.35596
2183.03514,2469.51604,194.43703,22.50099
