# p1 - c1 sync,p1 - c4 sync,p2 - c2 sync,p2 - c5 sync,c1 - p1,c2 - p2,c4 - p1,c5 - p2
35.48217,35.19511,51.06807,50.56095,101.50814,42.90318,101.82500,42.96613
36.15999,459.85508,52.70696,52.95086,188.12108,128.79181,70.35708,209.95498
33.26988,33.44584,92.91887,2053.54095,43.09607,44.03901,42.94586,110.21686
1048.97094,1908.49400,33.97894,33.46109,54.93188,44.48414,43.79201,44.42906
36.30495,35.83503,35.55989,73.69208,43.06602,59.76200,43.70809,43.42008
35.75611,34.96003,55.45092,54.32987,70.30392,67.44409,70.65892,46.15784
47.66917,47.42312,79.29492,78.74990,43.73908,42.96708,44.23404,231.71806
34.62887,34.66702,160.56895,182.86896,45.41492,78.38988,46.02408,56.31590
34.10196,63.25293,75.93203,34.32703,133.78620,176.25093,166.47196,45.14503
75.77705,75.47402,39.39509,39.54411,43.98513,43.13803,44.82698,43.49399
39.24298,38.87606,40.58218,40.48705,62.71291,71.86508,62.75606,72.15500
45.23301,44.38901,125.28610,192.54017,43.28203,43.49113,44.01708,66.18905
38.05494,38.10787,77.49104,77.50702,44.57188,46.92101,44.35706,46.94009
34.96909,540.75718,34.23905,34.13796,45.52698,64.72516,24.31202,64.90183
1487.77413,1135.23817,39.55793,204.86999,21.86298,42.83214,22.03202,86.09104
957.46899,957.50403,37.17923,36.70216,51.79000,102.57411,51.79095,102.70095
39.64496,40.29083,124.89104,1290.44008,65.69910,188.70807,65.05704,94.94686
37.67586,37.83989,44.50107,43.90502,187.92510,43.89501,188.07197,44.34681
511.80005,34.58095,54.58093,54.32892,229.69198,273.31805,50.53806,82.56912
34.47700,34.64389,57.04808,57.28006,61.43308,43.55597,61.75804,43.24389
69.13900,69.26703,35.73203,34.85417,42.42396,43.49518,42.45305,212.83007
173.42401,118.54506,217.30995,103.33681,32.29904,42.79399,75.84405,103.46889
35.10118,35.21299,37.32085,37.37688,43.55288,50.14110,43.51020,50.17400
36.00812,36.28206,37.34899,36.97300,47.31202,45.84503,46.80705,46.40794
