# p1 - c2 sync,p2 - c4 sync,c2 - p1,c4 - p2
52.69122,27.47989,138.31306,47.63079
29.08587,72.66498,44.60287,44.42692
22.21489,93.58907,81.75302,46.07987
67.22617,45.05110,110.82006,46.36598
27.80008,44.45815,95.65377,46.45801
23.25201,79.34284,51.69201,46.53978
23.92697,26.90506,148.61989,46.14496
23.89407,71.68007,50.88997,48.64693
26.95704,25.39301,45.57514,52.03295
34.42097,30.00402,46.35215,44.77382
24.20187,53.58696,73.91095,46.00096
26.46399,23.08202,47.12701,164.78205
24.83296,22.70818,45.47310,62.11591
23.19002,78.51410,75.99092,75.95110
23.52309,27.61602,48.57993,46.58818
22.78590,23.09418,43.83802,136.20186
38.94997,24.97911,45.18914,43.55407
23.07916,23.06604,77.52299,155.34210
24.46413,23.39005,45.42899,156.70991
24.42288,23.44608,45.78090,46.46802
28.79286,21.95501,44.85607,47.69588
59.66687,23.74005,44.70205,62.55507
22.80998,29.57010,47.07599,46.65494
23.60916,24.96314,46.23008,45.67099
25.62284,26.38102,45.82596,47.50800
24.04118,60.79221,44.37399,45.79401
23.83709,22.49813,46.30017,53.28178
24.41597,185.13203,54.38304,126.65009
23.97108,24.81294,59.51190,70.47200
170.65907,34.12318,83.06789,47.65511
61.24806,35.09402,45.51220,76.90001
45.73202,34.03187,46.67497,47.24312
100.42810,31.06618,44.12413,46.88287
72.88814,22.78495,44.91711,44.21902
25.38610,103.85394,48.76590,52.94085
25.94495,29.84405,189.41498,45.87507
101.07803,44.19398,46.10896,47.72806
32.56416,25.26307,46.15116,192.68417
30.36594,92.46492,49.32499,53.65109
25.77305,77.79193,46.73314,45.72487
23.70191,22.08900,137.67600,50.93598
23.83184,29.82020,47.75691,228.82199
23.62609,26.95704,45.90178,45.80402
28.05400,29.92606,44.02995,47.39904
29.65808,66.43009,46.08107,46.28015
29.45805,40.93814,44.42096,57.25908
49.27111,109.24101,46.71907,45.48812
28.48005,77.21210,45.95900,44.34609
88.48405,23.85306,52.32906,45.24612
23.33879,22.58396,45.15600,46.05007
64.33797,91.65716,44.68203,51.65505
23.92912,58.87604,47.53208,65.29403
25.02012,21.93904,45.68386,44.71111
51.16677,34.95288,45.01891,46.02504
48.58184,23.51904,46.12899,44.08097
24.38211,25.50793,44.34896,46.61679
22.80116,75.49405,46.38886,45.71915
25.67911,25.09713,45.58802,44.85106
28.04112,26.08109,77.00896,44.76690
28.80502,32.71604,135.13899,44.58308
23.40579,167.32597,45.97497,46.30089
33.05793,23.11301,46.15092,47.34802
52.72484,31.55804,45.34316,46.05103
23.34905,22.59922,45.65382,44.06309
29.13785,25.07877,44.26003,52.02293
23.62895,102.25296,46.21983,48.06614
24.24216,37.62507,49.98016,50.07005
194.00692,43.83898,158.11706,46.67497
33.32996,38.92899,44.00706,47.25099
23.12303,23.19217,45.62497,45.28093
23.20409,43.22219,101.12691,44.28506
23.48495,46.04793,94.46192,46.63110
24.88208,48.18702,45.45593,51.39685
26.97611,32.37200,46.14019,44.65485
33.03099,27.47917,44.92497,46.02194
30.16996,27.88901,148.03314,45.21608
29.97303,59.86905,46.88692,47.76621
23.21291,25.67816,45.26806,47.87993
23.43798,23.69213,46.14687,45.16101
31.88086,23.01216,44.53301,44.97313
27.38595,22.75300,79.12302,48.35105
22.99690,29.86217,45.49789,45.68911
23.67592,22.60184,45.22586,44.35301
22.41492,23.41700,44.83104,46.51999
29.04582,36.80205,47.24193,57.10077
24.71495,40.88593,46.83709,46.16904
32.12500,27.61292,51.90396,50.63605
23.31305,24.50395,45.04299,45.68696
25.56014,40.74907,48.54918,49.22605
27.65203,28.24402,49.19505,47.53590
24.21212,29.68407,46.58318,49.64900
23.93293,24.30987,162.28890,60.87589
22.79401,31.63600,46.89813,48.12217
63.26985,26.06797,53.24602,49.41297
25.67410,91.30216,54.11816,49.64590
30.02095,32.89390,52.37508,51.01013
97.12601,25.55799,44.74497,49.29018
26.98207,24.84488,44.14701,44.63601
28.02610,37.99701,46.78702,52.46902
24.40214,23.59581,48.40612,48.34604
84.22494,58.07710,98.02508,44.92307
107.07378,30.22480,46.06795,45.77303
22.62402,157.51004,45.09497,44.98506
25.01893,23.82112,45.27402,51.72682
23.48304,26.22509,49.69311,44.35492
24.60694,61.09595,45.35317,49.94607
117.71488,39.45303,45.80379,143.91017
30.20191,22.17197,45.82000,45.09807
41.52107,44.74211,48.09690,119.31205
25.48409,25.12503,46.22316,46.20194
22.62497,47.21212,46.59390,47.52707
32.33004,72.09206,54.89707,47.23310
36.25298,39.50000,47.08505,46.06700
58.66790,56.11014,50.04096,43.72716
22.84098,31.00395,68.70103,44.22808
42.82403,110.08692,45.04395,44.54112
57.42288,63.50803,98.34981,45.96186
32.05204,23.19503,46.42200,46.28515
34.18088,25.74015,54.47006,45.77422
24.16110,25.40207,44.79694,46.64803
27.49300,40.49301,44.71803,52.39201
24.48010,27.30107,43.70880,49.92199
22.31503,23.27490,74.37301,44.30389
73.33302,26.80707,45.14694,50.77505
39.67810,77.21281,46.30589,46.47517
23.47398,34.56497,47.06693,45.50600
25.71297,31.12817,45.29405,45.84002
36.29804,28.69701,45.13788,47.28198
25.90895,23.48900,71.76685,45.30692
30.59793,23.05889,52.15001,47.58382
129.53305,29.71601,46.53907,67.38901
34.10888,25.02489,204.16903,45.57991
29.28400,24.12200,47.66011,52.21486
22.95184,22.94612,49.91198,44.92211
32.07302,49.52812,45.18104,46.35406
35.61091,23.11206,46.35000,53.32494
29.82116,24.43600,48.48599,45.40420
28.13292,33.10013,47.10579,43.94102
32.32098,22.84694,44.59500,47.99104
24.89519,22.90797,44.33799,44.69490
24.62792,23.50998,45.82095,47.38903
27.60506,25.07091,45.63498,56.91004
23.21196,24.38498,46.20504,44.90113
