# p1 - c5 sync,p2 - c1 sync,c1 - p2,c5 - p1
52299.93510,5160.36797,193.84003,108.43396
10673.01106,10685.66704,73.34900,74.59593
8626.17707,8625.67306,73.37403,74.60213
6591.99905,6604.49982,73.34208,74.62001
4502.95401,4580.66392,50.37904,49.06797
2421.14806,2526.91507,50.36807,49.18194
410.23111,462.02612,50.34804,49.20006
59.04889,75.78397,45.45808,46.04006
52.67382,58.20203,45.62497,45.41612
60.97579,75.84500,45.23897,49.96896
124.90106,128.22509,44.85893,45.04108
49.29996,52.39201,44.60597,48.45309
46.34094,59.14402,45.20893,47.75405
52.34218,69.96083,44.23189,57.30104
58.65908,68.28785,44.28911,43.33305
46.71717,54.44002,51.20301,44.41714
75.17004,57.85894,43.12706,47.37091
93.40596,91.60590,42.96899,53.48587
69.79704,45.59684,44.83008,46.95201
46.51093,70.62006,46.60320,56.50306
48.02299,46.95702,45.03703,61.10501
49.04795,46.61798,45.46809,46.18788
48.03491,58.78615,46.25487,49.02792
228.72901,54.98004,45.90702,45.55988
54.83294,48.92707,45.27688,45.70007
46.61202,104.35796,45.03012,99.08509
189.24999,54.09908,45.10283,44.47699
49.41010,49.08919,46.31186,45.71104
46.71597,67.56186,45.99595,44.15393
146.59619,51.86701,45.17293,47.85991
55.13501,137.62498,82.16810,70.75882
47.95289,105.08323,45.48407,46.96202
49.51501,45.81594,44.28697,46.00096
79.00310,80.27196,43.13898,46.35286
52.21605,47.57595,52.64091,46.32020
54.77500,96.60792,53.39289,58.46906
48.73204,53.63488,146.25692,45.76898
47.19591,147.14622,44.86394,89.66708
46.83590,48.03896,46.86999,45.46380
46.98420,52.71792,45.53795,44.52491
52.32000,58.05302,46.56291,45.29095
47.60718,92.08417,46.69285,45.56298
48.63501,56.50592,44.82889,52.93989
47.71304,78.89485,45.38417,102.47493
51.63193,56.12516,44.90495,51.58710
53.94292,48.05183,60.42004,44.68298
58.08496,47.45793,46.66710,43.85710
50.15397,46.64683,49.30997,140.42091
49.90292,58.32100,52.82307,73.74310
51.56207,58.22301,44.51489,44.56306
48.74396,137.94804,53.74908,73.37189
81.89917,76.03884,46.10896,46.37003
