# p1 - c1 sync,p1 - c4 sync,p2 - c2 sync,p2 - c5 sync,c1 - p1,c2 - p2,c4 - p1,c5 - p2
79.28801,78.89104,53.87115,53.69020,45.70794,46.21005,45.83597,46.16499
52.12498,51.40591,56.38289,56.34880,44.79313,44.81697,45.53509,45.39204
37.43982,37.17995,41.11791,41.06688,44.83795,46.48900,44.94810,46.31805
39.49404,39.49094,94.64693,94.51890,46.64207,45.31193,46.60010,45.45617
54.81005,55.40204,58.04515,57.70802,45.27998,44.20114,44.68679,44.29889
83.69398,83.71305,48.36988,48.49601,51.05281,47.13297,51.02992,47.12987
36.56411,35.79092,42.45996,42.25183,46.32521,47.35684,46.88597,47.49012
66.71000,66.70403,53.09892,52.40297,44.10601,48.62785,44.04497,48.92683
35.51292,35.03799,34.51490,35.20799,46.48399,45.14909,46.94700,44.55400
36.83996,36.82303,34.06715,34.57808,45.50195,46.24701,45.51196,45.23110
36.54313,36.38196,113.34801,113.70516,43.76793,46.51594,43.84923,46.28205
36.04388,36.01193,106.91881,107.02085,47.48511,49.47209,47.98698,49.38698
43.67995,43.66302,44.00182,43.89477,42.33003,48.97380,42.36102,48.55084
35.53510,35.74705,49.08800,49.08395,44.27409,47.98794,44.23404,47.91903
39.55793,39.83498,54.51107,54.47388,47.44387,45.07208,47.31798,45.23206
37.61506,37.14705,42.76896,42.66000,54.88896,47.21594,55.35007,47.12796
66.21099,66.20097,34.64508,33.91314,94.92493,119.40885,94.90514,120.13412
35.99381,35.83789,35.42209,34.98101,82.45015,62.59799,82.59511,63.23099
34.47890,34.53994,40.92407,40.70306,144.66715,45.85910,144.51289,45.53103
36.70287,36.74507,37.91094,37.96387,45.20106,48.25902,45.13001,47.81413
46.91386,46.87881,42.57298,41.87918,46.01097,45.72201,45.80688,46.44203
44.95907,44.91401,43.99610,44.53015,115.53192,44.98696,115.55314,44.70491
39.39104,39.70814,34.36089,34.63697,47.86801,52.85788,47.53399,52.75416
46.44895,46.47708,39.34717,39.46996,43.85209,126.07598,43.82610,125.60892
36.69596,36.32593,56.72503,56.57101,47.96696,44.34609,48.55704,44.73305
139.16492,138.80587,210.18600,210.13403,46.25106,46.03195,46.67401,46.08297
98.28305,97.59712,83.70304,83.65393,43.85591,46.12708,44.55495,45.68315
35.73489,35.39300,133.04400,132.91001,44.89779,47.66703,44.85703,47.94812
38.98287,38.62381,108.26302,108.11901,66.75315,79.73313,66.48898,79.55503
165.86900,164.68477,36.64398,36.55601,44.84296,44.81816,45.71700,45.03703
42.57679,42.99378,37.70304,37.71520,115.19098,101.86195,114.44902,101.81117
35.20393,35.22086,100.17204,100.17300,44.75117,46.76414,44.78002,46.83208
112.80608,112.95390,42.66214,42.73415,43.77699,45.46213,43.70189,45.56990
35.74800,35.94804,52.25086,52.22487,129.28009,45.38703,129.11296,45.45283
68.52198,68.73393,39.37984,38.90395,48.81287,101.40300,48.52796,101.63498
36.92698,36.87716,40.85112,39.88314,47.89901,54.91400,48.25997,55.38106
36.02409,36.13997,35.14099,35.07209,45.11499,45.90702,45.08996,45.91918
82.89289,82.90577,35.17604,34.44004,46.78297,44.90519,46.77010,45.53413
46.93484,46.30899,34.71589,34.74402,43.86616,47.01900,44.53683,47.18280
35.89392,35.85601,101.11809,101.02201,44.50107,100.32105,44.50321,100.61312
36.34095,36.45110,47.24908,47.26005,45.01700,45.40396,44.69800,45.57896
39.62398,40.41100,35.64286,36.14402,124.85695,59.83591,123.82603,59.49402
39.43610,39.18409,55.24492,55.18293,45.17007,71.39301,45.30001,71.57493
42.58299,42.86790,171.61298,171.33188,147.76015,45.83001,147.69793,46.60702
48.34509,47.63412,35.71582,35.86388,44.83819,46.41199,45.51601,46.14997
36.06915,35.72202,176.68605,176.55516,45.35317,59.35001,45.65310,59.48591
104.07996,103.93500,48.02108,47.51897,77.36802,44.58094,77.40998,45.21203
37.37307,37.13703,89.35499,89.26105,43.87808,110.93402,44.17682,111.05299
36.28397,36.76295,205.52993,205.55305,45.27688,122.55096,44.86609,118.59798
