# p1 - c2 sync,p2 - c4 sync,c2 - p1,c4 - p2
14117.41996,11169.99817,0.68402,125.56005
26.11399,22.67599,44.00992,44.06714
35.13408,30.90811,43.51497,47.24193
33.59818,25.57302,46.41700,44.81006
26.54195,26.65997,45.31503,48.60282
23.00406,22.64595,44.73114,44.26503
24.51205,23.31614,43.59818,46.29302
25.00701,36.05890,44.76500,44.98506
38.09285,23.29612,44.01898,47.81294
41.29601,60.26483,58.45094,55.03583
23.81015,22.96019,44.26622,44.76905
24.34492,44.75498,47.79100,48.94805
26.93319,26.02386,42.94801,44.57498
68.71009,73.79198,43.95008,46.10300
34.15990,72.75915,45.95304,44.24810
23.99707,76.55501,46.82302,47.35994
22.93205,44.97194,45.66002,45.36414
25.09022,29.53506,46.26513,50.44603
22.82596,62.25920,43.91909,60.09197
23.03505,67.43288,44.18802,57.00302
24.07002,88.98687,44.95502,46.34500
25.49219,91.95995,144.20915,46.76580
23.00501,169.07811,48.24400,49.36004
29.02889,39.21103,44.76905,47.50109
23.71502,24.88708,173.32602,44.11316
24.13893,25.55299,47.43195,44.06881
28.64790,41.92305,43.77794,45.70794
25.27213,48.22588,46.26203,47.87517
55.23300,54.94499,45.88604,46.27895
27.27509,26.87716,44.02900,45.13717
26.13211,43.98394,46.23103,47.77908
38.57398,25.89107,44.49010,47.81413
51.19705,76.54214,45.75300,51.21613
23.47708,24.05787,44.73805,49.77822
23.64397,27.27699,43.11109,45.87698
27.97985,22.81713,48.25187,44.04521
23.00811,25.14911,48.75112,45.30096
49.58892,31.05092,45.18914,45.76707
26.73888,25.74515,92.45896,43.97821
27.95196,24.77503,50.83704,45.38107
23.11802,24.38498,45.64881,44.19398
34.58595,36.73315,48.66791,45.44210
27.80700,33.04696,46.17119,46.90909
25.61712,24.55497,44.94596,45.49193
29.08802,33.00595,48.74802,44.96312
25.55394,24.04785,44.56115,46.20814
25.00319,49.28803,48.65003,43.89191
24.75691,23.58603,46.98920,45.01510
41.38184,150.14696,43.71881,51.84913
34.94000,29.33717,45.53103,45.40992
32.97400,88.57608,45.44091,45.94707
29.26803,23.01192,53.59411,47.77312
26.98803,22.80712,47.09077,44.52109
23.09895,28.08785,46.51403,45.50314
28.01490,27.54307,45.82691,52.20819
23.54908,34.07907,44.58690,45.66813
26.56698,29.60801,45.24207,44.60788
27.67205,30.00307,70.66989,88.65404
25.16198,41.97693,134.39608,49.15595
35.15410,23.04482,44.85297,46.23890
29.13404,34.45601,45.79306,43.40816
69.66686,29.47307,44.95502,51.49698
24.46008,23.41104,45.41898,44.95192
22.41111,26.62086,44.50989,44.28506
22.35198,25.98310,46.78106,71.98882
39.55984,23.87905,44.76500,46.22698
28.67484,23.44012,45.08901,44.30485
24.82486,44.10696,46.07797,47.69516
41.80503,25.03419,114.26592,45.22586
34.57594,47.31107,46.66615,46.39602
148.25916,34.72114,45.17603,43.52999
46.02981,30.85399,45.67599,43.62512
30.11298,225.78812,44.60812,173.83885
63.49492,33.87785,47.59598,44.04902
29.00290,29.27709,43.61105,45.29095
29.95396,31.58712,45.04681,44.78097
28.06306,31.08501,46.27013,44.70801
30.20096,66.36715,44.33990,45.47000
24.28818,25.95305,62.32190,45.26782
29.44708,25.63000,75.45114,45.48097
27.91691,24.64509,45.91990,46.87905
33.80108,22.72081,45.15886,46.83208
28.46003,103.78313,42.69099,46.27705
26.82400,24.33395,44.61884,47.95194
32.31692,52.80590,45.40586,127.28405
35.89606,49.17789,43.13684,104.46811
40.00092,41.23306,45.18700,47.80293
78.38988,61.08594,126.84393,46.18096
49.42298,76.18213,44.79814,49.45111
24.30201,63.07721,183.96783,49.59798
26.06297,29.22487,44.63506,45.08901
24.40500,25.02608,44.66891,44.87491
24.25289,30.76911,52.14381,44.59906
53.66683,29.52981,43.45703,44.35205
76.39003,47.66297,44.21592,45.50385
27.34900,34.31606,44.70801,44.99197
27.01902,80.56617,45.17388,72.26610
50.48585,46.25702,44.45314,45.47906
43.32709,117.36703,44.32702,45.44783
29.80494,72.82305,44.03210,44.14487
