# p1 - c1 sync,p1 - c4 sync,p2 - c2 sync,p2 - c5 sync,c1 - p1,c2 - p2,c4 - p1,c5 - p2
12172.50299,18218.88900,7068.52698,13179.43215,103.14012,0.96393,147.97592,76.99800
37.21499,71.58208,66.09488,33.32400,43.69617,44.90113,44.31295,44.59190
46.22102,46.30208,42.35911,42.20605,43.51902,45.75801,43.83302,45.47000
45.83502,45.89105,35.26998,35.77089,45.31908,45.98212,45.25113,45.20702
38.35082,38.31077,38.27405,36.61203,44.82102,48.15602,44.77715,49.37601
33.86784,66.82587,67.85011,33.02813,44.32487,43.34092,44.07883,44.40093
34.86490,37.13298,34.78622,34.38210,44.49606,45.67695,42.53483,45.24899
36.20100,36.66401,46.44084,45.63999,44.47889,46.29493,44.49010,44.16919
49.84689,49.73793,35.17413,35.20703,42.91415,47.26291,43.08796,48.05899
50.87304,59.62992,69.52286,102.74386,61.81097,57.28722,56.50401,45.60685
34.88302,68.25304,68.18104,33.38909,45.93301,44.45910,45.27903,46.70882
36.66592,35.84790,57.42502,80.68013,46.51594,47.45197,47.56212,90.13796
38.03706,70.84513,69.64493,36.64804,42.82379,45.53986,44.54684,44.61884
78.90296,101.07207,131.85287,86.62200,46.10205,44.31319,46.84091,44.53182
44.75999,44.75689,83.60410,83.39214,46.24104,45.51506,45.77184,46.20004
35.36415,34.30915,86.39383,86.19094,46.18597,50.07410,47.74094,48.97594
33.65707,34.25193,56.89692,56.12087,45.91489,44.26789,45.45403,45.30597
37.29510,37.63604,45.60614,45.20822,46.05603,45.53819,45.60590,45.34793
33.57100,34.13606,89.86712,89.90502,44.33393,43.67495,43.71810,43.11895
35.62284,34.47795,91.45689,91.28284,45.01295,44.88182,46.10205,44.96694
35.61401,35.13193,101.62997,101.41110,44.81101,44.69705,45.22300,45.42494
37.69112,37.68802,103.75309,104.06208,142.65895,45.67885,142.69495,45.20893
36.03697,35.81905,182.51395,180.95398,45.44401,46.62085,45.97878,48.31004
40.51685,41.84890,51.44310,52.79207,45.10999,46.31400,43.80298,45.16482
35.08782,35.32600,36.73887,36.23796,172.56498,43.28394,173.00081,43.90907
35.69198,35.53605,36.49282,37.00185,47.38903,45.64095,47.94002,44.93403
38.92207,39.23798,52.69098,53.46608,44.46101,46.67902,43.95294,45.45093
37.11510,39.24203,58.70390,59.06391,46.19098,45.68005,48.27094,46.46301
66.68186,101.09401,101.11213,67.07597,45.96090,46.22102,44.63291,46.33594
38.26308,71.60306,71.12217,37.44698,45.98904,46.39006,46.51809,46.98682
38.62000,38.30314,55.24492,80.83797,47.17183,48.00415,46.55218,45.29309
49.96300,50.43602,39.73603,39.52789,43.34307,44.11888,43.78891,44.31105
62.30402,62.84308,92.85712,92.92006,45.41397,46.62895,45.07017,46.20790
34.03616,35.59995,36.73601,36.26895,44.65318,47.87707,43.35093,49.06297
34.27196,33.50306,41.02707,40.75408,42.95611,43.68305,44.48605,43.15281
41.62002,40.77291,33.36811,56.07009,45.48788,44.36588,46.77391,43.85281
33.86497,33.86807,36.71694,59.33690,49.55792,44.32988,48.13099,43.62702
60.57596,60.70995,42.38296,65.09686,47.06597,45.89891,46.17190,43.51211
38.67197,39.21604,36.94916,47.30415,92.31877,44.00492,90.94310,44.63196
39.32905,38.75399,36.74102,36.36003,50.12012,43.66302,50.96793,43.72716
35.19607,35.53414,35.98189,56.31399,44.65485,43.55502,43.97607,45.55392
46.06009,45.11213,47.91093,47.59693,48.31219,46.66209,49.86691,46.82994
37.62293,62.05702,92.39507,44.05904,48.79999,44.08097,45.42208,48.41900
35.43305,70.09101,70.79482,36.09085,45.67099,46.10300,46.12994,45.88604
39.61897,39.62612,43.83707,55.18103,48.51604,45.27211,49.21603,45.58086
37.72712,37.19306,36.41582,37.37688,43.26200,45.21513,44.26718,44.12103
35.47406,35.27617,59.09204,80.58405,49.63017,45.16077,49.61801,46.27705
34.82509,70.01805,69.94009,34.84201,47.24002,42.85812,43.42198,45.78114
53.04098,52.80685,163.38110,161.99493,43.02287,50.66705,44.87085,52.25515
46.55600,47.52684,40.46512,41.47100,69.26489,45.32409,68.45403,44.54899
44.56592,45.24493,99.79892,99.36094,45.21108,46.47613,45.07113,47.06192
41.45813,41.48316,37.92381,37.58693,52.75106,44.86895,52.66905,44.70992
40.12704,40.27891,33.87594,34.22403,69.07892,45.07589,68.76206,44.07191
35.15196,35.57682,40.32588,40.96985,45.16220,44.04902,44.85583,44.46602
39.07800,39.70790,46.02790,45.89105,46.07201,44.14606,45.73393,44.21401
34.87301,35.14099,46.89717,46.27800,44.55996,43.56718,44.07501,43.66922
37.93812,38.38515,42.35888,40.25793,45.01796,42.75203,44.47508,45.34197
39.15000,38.11002,84.41591,84.97787,70.18209,44.99412,71.41495,44.08002
36.24892,36.31401,54.13389,53.40099,134.62090,68.28499,134.52601,69.14496
47.28198,46.87810,34.34300,35.29882,44.00110,47.19281,44.75999,46.98706
41.38088,40.53497,42.04202,42.23704,44.25311,47.22714,44.89899,46.16594
80.86181,80.84583,44.02709,44.33417,45.48311,47.81318,45.69101,47.85204
36.04603,35.40993,34.70302,35.00819,44.80004,45.35103,44.24000,45.11213
33.90503,33.93912,38.73992,38.92684,43.62702,44.77310,43.42198,44.68799
33.64611,33.72002,62.77895,62.63804,46.14401,48.91205,45.92395,48.88511
52.45590,50.72880,34.90114,34.89304,47.03593,45.45999,48.35200,46.19288
39.64186,39.36696,34.52706,34.37400,45.32814,46.39912,45.40610,45.33291
36.65996,35.64191,56.23889,80.76096,46.45991,46.58103,47.20592,44.01803
119.75002,119.93909,36.01813,56.25606,47.08409,45.02988,46.83518,48.12002
47.59002,47.67179,59.80015,82.30019,44.49701,45.40515,45.25399,44.43383
159.08813,158.59509,45.21799,67.65413,44.61408,44.04998,45.67790,65.99379
59.28779,58.58898,41.35299,41.63003,43.26892,43.69307,43.92695,44.71016
41.55993,41.67295,237.37407,237.46800,43.86115,173.92993,43.70403,174.27087
79.17595,78.87387,44.79003,44.56997,43.34617,43.88404,43.53809,45.07399
39.74605,38.65385,40.24506,40.10296,44.55400,44.44408,45.88914,44.58904
43.15209,42.81592,43.28609,43.62297,42.48810,44.47293,43.32900,44.68918
42.41014,42.09805,41.87894,41.70895,42.87386,44.96598,43.23196,45.69197
42.62805,41.58902,77.94714,78.20606,42.57083,45.47715,43.68520,44.40594
35.78520,35.84909,39.78705,37.98008,61.97405,42.87291,62.13117,43.68997
39.94918,40.97915,36.71002,36.73911,79.00906,46.35096,77.29602,46.95010
39.08205,40.17997,36.11112,35.94804,45.70389,46.54002,43.96200,46.93103
45.96996,45.23492,34.63387,34.63101,43.78295,46.46397,44.23404,45.91894
39.51001,38.20992,115.94915,115.84806,42.62304,45.15386,43.93697,45.42589
37.66918,37.27412,36.38506,36.30996,45.03584,47.10388,44.92807,46.57006
44.22903,44.32011,144.80996,144.35887,44.37590,46.34094,44.30389,45.94803
48.17104,47.42503,60.60505,60.38809,57.56593,104.51388,58.50816,104.29692
51.25690,51.65386,55.13406,55.64117,45.03798,45.31288,44.62695,44.89422
172.40500,173.27189,72.07584,72.02601,44.84010,46.16594,44.11507,46.22197
60.90593,61.01489,91.72201,91.89105,44.02995,45.32194,44.05522,45.26901
35.96807,37.37402,74.90301,74.39017,160.88295,48.31409,160.12406,48.76709
38.33294,38.30099,41.62979,40.99083,44.07692,42.94300,54.53897,43.66994
34.84011,34.89113,36.25202,36.31186,45.17698,45.53008,45.66193,45.64810
42.10877,41.98384,41.24498,41.17703,45.48001,44.76500,45.62306,44.85416
63.41887,63.87687,40.23385,40.21287,44.95096,45.97902,44.51203,45.24994
87.25095,86.96485,58.90083,58.73179,44.05808,44.86203,45.07303,45.19796
38.33795,38.45000,44.49296,44.47794,44.24095,44.77000,44.19994,45.17293
39.19601,39.19101,118.68620,118.47305,44.09790,48.94185,43.91289,49.23606
61.81002,61.05089,57.94311,58.42495,46.68117,44.58809,47.03712,44.26408
54.95715,55.31812,128.41487,128.32093,43.53094,45.94111,42.88101,46.04006
41.79692,41.06593,83.88996,83.45294,42.84406,44.50297,43.90693,44.72303
42.20200,42.08207,37.27603,37.52112,45.65501,44.84391,45.64810,44.27409
38.90514,38.47098,34.95693,34.88898,44.65890,46.20790,45.30120,46.04506
66.41006,66.20407,39.39414,38.85102,43.59818,45.89415,43.35403,46.00811
35.89487,37.01997,38.05399,37.99915,47.73617,44.30914,45.70007,44.65103
40.90500,40.20715,34.59883,34.65199,43.83993,44.51990,44.86418,44.47103
36.50498,35.98785,35.95304,35.36487,44.85798,44.55209,45.32695,45.44902
45.21894,44.87681,43.02216,43.36119,56.36120,157.98092,57.19304,157.89986
36.81397,36.19790,37.37497,38.15913,44.96694,45.98808,45.46499,44.73400
67.20710,67.07096,34.92689,35.62307,138.20601,44.84200,138.28421,44.30604
34.41191,34.97100,35.14004,34.70993,46.40794,44.64197,46.03004,45.04108
43.27416,43.06006,38.49196,38.75804,83.97388,47.07885,84.16915,46.74578
45.28117,45.34817,35.15601,35.11000,45.47000,45.98308,45.63403,46.11397
35.15697,35.35390,34.15704,35.40707,45.16602,44.60096,45.52412,43.49208
36.08894,37.01997,35.69889,35.88486,42.96803,44.55686,42.56892,44.91997
36.65185,36.51595,35.01201,34.50394,44.17706,45.27998,44.07597,45.91584
36.34787,37.64296,38.22899,38.82289,63.97915,45.35198,63.11202,44.86299
37.43482,37.76193,42.14811,41.88609,44.39402,46.35596,45.10999,46.24009
37.13894,37.19401,33.73218,38.78498,42.84620,45.50695,43.38694,44.93308
34.87396,71.65408,70.77885,33.77986,46.95010,44.86108,45.44592,46.85903
32.85408,33.30708,35.08997,34.06096,45.62402,43.86115,44.80410,44.58499
34.42407,34.91902,34.17206,34.11293,44.53802,44.40093,44.48104,44.35992
61.37919,60.81605,36.38697,36.47900,44.02184,45.02296,45.07709,44.58594
35.08997,34.66201,37.49084,36.17382,134.17888,45.96996,134.87101,47.12796
35.03799,35.02297,54.78907,54.57306,44.36803,45.01700,44.34919,45.48907
38.61094,37.77504,108.92200,108.36601,43.31398,44.95597,44.18492,46.25607
34.36112,34.18303,39.66403,39.78515,46.80610,44.20185,46.52786,44.73495
36.35907,35.45904,35.21991,34.36089,44.44599,44.75093,45.34912,44.93213
38.60593,39.62493,35.72297,35.57086,79.57697,46.25201,78.39179,46.40102
36.20410,36.58009,59.76486,59.84879,44.32011,46.29493,44.70491,46.22507
