# p3 - c2 sync,c2 - p3
45.22800,139.30798
33.96702,23.73910
15.34295,60.42695
27.82393,24.43409
32.86695,22.84098
19.75703,23.83304
12.94398,24.25599
13.82089,50.48800
24.58096,27.35400
13.57102,22.89796
35.64405,24.14107
13.00001,24.46485
53.86400,37.05812
22.51291,26.30806
13.77296,24.37687
13.38005,23.62204
13.43608,25.13504
13.16786,57.60598
21.40999,23.60606
12.85315,26.84689
14.37497,27.13704
14.79316,24.21117
13.91602,32.77397
22.02201,28.60498
12.77804,23.89121
22.68600,27.59480
21.69919,48.28405
12.30502,24.01996
21.39807,26.61300
17.41505,25.73895
24.75309,22.70198
23.91601,24.03092
12.85601,36.78489
16.99209,34.48319
14.52684,51.15581
31.92496,31.32415
19.70696,23.17500
21.07906,22.60303
19.47093,28.20110
38.96499,27.77386
12.97283,22.81213
36.43322,28.13411
14.89997,28.50103
12.66909,26.27492
13.34381,29.42204
13.00812,24.80602
23.32711,25.96998
13.89694,23.00620
16.49094,28.41783
14.21809,23.02384
41.54015,23.96822
12.54201,24.30201
13.50498,26.03602
17.51184,23.19503
14.69207,29.69289
21.34299,24.98388
22.43710,23.67997
13.13090,23.75913
34.41906,27.47488
15.45405,25.73109
31.83484,23.65088
13.62705,25.92182
13.00216,24.54209
14.82582,23.68903
13.60297,27.28200
29.63614,24.06502
16.69383,26.42989
12.96401,23.67616
42.43803,23.27704
12.67791,24.85514
12.93111,25.72298
14.68205,37.31322
23.20695,24.66106
13.73601,25.34199
14.81485,24.72281
13.61394,32.01699
24.08409,23.14615
11.91711,24.54591
21.94190,22.96400
12.34984,26.54099
21.64698,25.29383
20.29705,25.32792
12.51888,23.11707
13.29112,24.65892
21.19803,28.68390
14.11510,25.38896
25.73586,25.23708
31.40211,24.46198
20.24293,24.67608
26.60298,25.01106
27.39406,26.60608
14.47392,25.92111
13.20696,24.72687
15.43403,22.81499
13.43107,25.56086
14.05406,77.40998
36.41796,29.06394
14.12606,25.97404
20.24698,22.51410
12.82191,25.40994
16.30783,24.24979
