# p1 - c1 sync,p1 - c4 sync,p2 - c2 sync,p2 - c5 sync,c1 - p1,c2 - p2,c4 - p1,c5 - p2
12212.32295,42193.15600,15078.65500,45185.18090,77.11387,350.44098,67.56496,77.46100
72.87192,107.72181,107.10692,73.95101,45.86291,44.62194,43.90907,44.27791
33.20909,74.89800,76.09105,34.94811,52.71506,44.97004,224.97392,52.80709
35.45499,162.54711,162.98699,35.22110,138.74197,44.97409,45.34793,137.77208
32.59802,32.87005,64.93402,64.90707,47.72401,42.61518,47.52088,42.51409
34.25908,34.06501,34.49297,34.54995,52.43111,44.58594,206.81715,44.30699
36.92198,37.16087,106.62198,106.52304,96.29297,47.73879,96.08388,47.66297
34.85799,34.51085,52.99401,52.73008,42.79613,43.38789,43.27607,43.62202
57.08003,56.91218,33.95104,34.04713,43.60390,45.75801,43.63203,45.53294
38.64002,74.24212,76.27606,39.61515,47.32180,45.49098,46.63301,47.61004
51.45693,52.18983,40.69614,64.53013,47.68300,45.76802,46.77606,261.71494
33.42795,81.22993,62.14309,37.78315,48.24209,214.48088,57.41501,46.77296
34.69396,34.94716,68.78495,68.69483,46.10586,47.64295,45.73703,204.56481
47.82701,47.27697,36.34715,36.14712,43.16092,46.17906,44.02900,45.59803
36.81302,37.88686,56.78916,79.63920,45.78090,45.70889,44.93499,45.65597
33.38194,79.79393,61.79810,37.26101,46.91601,59.10397,60.76813,46.74792
34.75094,72.30306,72.22199,35.11906,49.28994,48.11692,48.12407,48.75994
43.46299,43.37192,45.15004,66.87188,46.76580,44.69514,46.30709,44.27814
41.77094,41.62288,36.50594,39.66212,43.62106,46.57722,44.02494,43.15710
34.59406,34.59096,47.83607,47.58406,55.55391,53.94101,55.92394,54.12388
34.23595,69.31400,68.53604,34.45888,46.91792,45.74299,45.22896,45.41898
55.71795,55.77707,41.44597,41.38398,44.94309,52.83308,44.83390,53.26200
35.34722,65.19723,72.21007,35.88200,42.10186,43.23196,45.75706,44.86108
41.51988,41.49294,40.31587,62.99090,52.83594,71.92397,52.57702,49.24107
37.72688,37.09984,50.91596,50.80295,44.48605,44.76500,45.00699,44.52491
40.04288,40.06600,119.53998,119.52996,132.92503,45.43805,133.19707,45.45307
73.44818,73.74215,55.32479,155.44295,124.89104,122.73502,125.14997,44.43789
34.85608,34.78312,44.64602,56.11205,244.97485,252.56705,46.30613,187.50286
41.15009,41.10694,35.43305,35.63404,45.19606,42.58513,45.10903,42.39798
92.87214,93.12415,37.18710,37.17709,53.42293,45.82095,53.04408,45.42494
40.52305,39.98709,36.66401,36.49783,44.23690,47.74094,44.68203,48.15292
44.14511,44.37399,98.15979,98.51289,45.52102,45.83406,45.26997,45.41111
50.18997,50.15707,43.17212,43.80202,51.93901,60.19783,51.87583,59.59415
51.43785,52.12092,40.80105,40.11798,46.96703,45.16101,45.94398,45.97807
42.42706,42.13810,38.39803,38.46288,65.54794,189.10503,65.78207,421.02814
40.04312,40.33518,42.40608,42.48714,44.00492,44.89303,43.71595,44.66295
43.98394,43.94293,42.05799,41.01205,71.66886,61.72895,71.54107,62.77013
35.60710,35.81500,130.01609,130.00703,46.11588,46.03004,45.88699,46.65613
830.42288,40.39693,62.02602,62.42394,83.28700,45.34984,183.78997,44.97910
37.01401,36.67593,35.36415,35.49409,43.37502,44.26718,43.58697,44.13795
34.88302,35.02989,65.24110,64.80503,45.59207,67.46316,45.38512,67.93380
345.19601,43.09201,197.34406,40.15899,24.15419,46.93389,77.07596,59.42488
35.97689,35.07590,37.82392,37.72092,43.62202,135.80298,44.77596,135.87689
40.57908,40.54403,39.81304,39.59203,200.64592,45.44520,46.77296,45.87913
35.66885,35.48288,46.85211,46.92411,44.09909,76.50900,44.45386,76.46298
45.01319,45.17817,42.79399,514.11200,48.20514,44.38591,48.10905,70.04905
33.77700,34.32202,33.67305,59.94892,50.82083,48.12407,50.53806,43.67495
340.43503,70.13106,33.36883,33.20885,22.40801,45.43805,44.81483,45.35985
33.58006,33.89406,45.22300,66.97297,49.28398,45.18008,49.01195,45.91799
33.94294,98.16408,62.66212,35.46619,45.07279,43.09916,83.85706,45.91990
44.28196,44.14606,35.93993,35.26402,44.25097,46.96012,44.56091,46.77582
34.68609,190.48810,45.08400,67.32202,49.38412,66.80703,22.91203,45.00794
34.39403,34.64293,41.25786,41.50891,48.54894,44.19804,48.73681,43.94388
42.57607,42.57607,32.61995,43.02907,44.29793,184.02100,44.86203,45.39585
36.36599,93.32180,93.55593,36.21411,68.03608,55.06301,55.44710,68.83216
71.19203,71.61307,1210.16693,84.54990,221.54784,38.03492,45.33195,46.42010
42.11187,41.86702,32.98593,42.94586,46.25106,44.67893,46.31686,46.27705
39.21604,38.85603,58.56204,57.84106,43.40887,116.94407,43.90907,116.50896
41.81695,42.00792,33.91600,34.16204,44.52586,44.51585,44.05189,44.07501
36.39197,35.71105,50.80700,73.22979,44.42596,46.01622,46.01884,47.02091
36.06606,36.56197,45.94517,1485.93903,44.98386,44.16800,43.87093,194.90194
43.09201,42.75799,37.21714,100.62313,85.32000,84.63621,84.73396,43.34307
44.24191,44.59095,49.54600,70.70613,49.15500,42.86790,48.52414,91.34388
44.52205,44.52991,35.87580,35.59780,45.78304,45.58301,45.97211,45.85505
36.34000,36.45587,99.51496,99.07985,58.24900,46.36502,58.24995,46.68093
34.64985,34.68490,67.88301,68.17603,44.14797,43.19096,44.39592,42.85789
39.85810,39.75892,33.69212,33.56218,44.04902,45.49503,43.92886,45.76898
40.97390,41.07881,33.73384,33.71787,64.38804,46.36502,64.29291,46.33689
40.84182,41.26000,34.98292,34.98197,45.30096,44.87920,45.26401,45.03894
117.04206,117.74492,46.95201,46.90599,48.69485,48.02108,47.94097,47.95289
47.60814,47.80602,49.17789,49.00599,44.16800,47.22285,44.09289,47.15610
