# p1 - c2 sync,p2 - c4 sync,c2 - p1,c4 - p2
22137.00294,35134.81092,50.33898,45.03202
62.44588,62.34384,44.91091,45.12501
22.18413,23.69595,52.32215,52.50502
24.01805,23.34595,139.26601,139.18900
22.04013,44.91115,47.85991,51.98193
22.49718,23.34690,53.19190,44.13486
25.47979,95.29305,96.99893,47.11199
23.02599,41.89301,43.95914,44.06500
44.92116,23.49019,44.75689,44.54494
27.22692,27.98009,47.55521,47.26601
40.60698,28.69797,46.09990,46.85092
22.48907,22.37201,47.71495,50.60601
23.54312,23.44704,46.14305,80.95002
34.98483,23.80395,45.88413,46.98992
26.07989,44.55209,45.29190,46.29612
22.35198,25.71702,46.79012,46.48113
23.10395,23.98300,48.65313,48.26617
32.33290,31.93903,46.81396,46.46707
31.16894,25.79212,43.92600,45.61400
23.45085,22.81404,57.54805,63.96413
22.93086,23.54407,45.94898,45.20512
36.06105,29.57988,52.76585,54.45695
24.03903,24.60003,43.12110,45.49003
31.15702,28.30887,51.78404,72.66283
24.02186,39.64090,46.17286,192.61217
28.40090,108.20913,46.61202,44.74497
63.11703,44.30389,47.14918,122.29204
23.29516,1225.16298,46.59200,22.16506
29.03509,24.75905,45.75896,42.87100
31.26907,26.83210,103.50204,44.17396
28.01704,25.89583,46.19789,45.49384
33.37312,86.16686,44.80290,46.28706
37.98103,32.39512,46.19002,59.01504
24.40405,30.12896,61.25808,44.38806
23.66114,27.74692,52.53983,43.99705
28.26595,30.67994,45.18414,44.81006
30.68185,29.50001,72.98994,63.56096
24.90020,118.11304,46.30208,46.48399
29.35505,50.51303,44.51108,45.45307
23.45991,23.49901,45.85791,44.63196
23.49091,53.89404,45.66503,67.43312
283.04601,24.22500,73.88186,63.52091
23.97394,27.06909,44.21711,48.37394
29.31809,28.50199,43.82181,45.77112
25.35605,35.45809,43.99204,76.70307
33.22005,31.47292,49.51215,44.36302
23.52118,22.31789,46.38004,47.72496
56.38409,22.74895,46.48590,44.63005
22.87507,33.87499,49.05891,44.95811
22.82000,23.04602,45.64905,47.23310
30.24793,24.40500,46.65494,48.22397
24.26600,185.80484,48.77520,30.82323
23.73099,30.32589,42.58299,44.08288
31.44002,22.50791,45.03489,42.99784
23.56601,23.80013,69.67115,69.18907
55.71008,51.33295,50.04001,44.96002
30.51805,22.16601,46.60296,44.95287
27.56906,44.01517,44.27695,110.66008
30.62081,22.23992,44.48915,44.61694
24.55902,39.35194,45.56203,44.84200
24.29509,34.83200,45.94302,44.42191
32.06205,26.03507,44.70301,84.68103
31.99506,33.10013,50.63605,48.55418
32.98187,24.47200,46.22006,45.80784
24.35803,88.96899,59.38983,45.27807
23.16785,56.24700,44.83008,43.44201
28.42402,22.77017,44.99197,44.96908
29.42586,22.38297,64.38208,46.64993
28.98502,23.88978,46.30303,45.06302
102.98204,29.80399,51.43023,53.74408
36.89122,37.55188,44.00396,46.56196
30.30086,25.11692,43.87021,44.42215
29.92201,30.50995,72.77107,44.24286
