# p1 - c3 sync,c3 - p1
32237.56099,335.78610
51.67890,22.48287
11.87396,21.26193
11.63006,24.18613
505.73707,21.55089
11.58404,22.61400
13.92078,22.93992
12.04085,22.58801
32.87601,23.62204
11.73997,27.09293
24.26481,27.58980
12.25996,22.10498
34.69396,23.93007
12.78591,22.13502
15.07807,21.96503
11.69205,22.32814
11.81102,22.68100
14.65583,28.92089
13.50594,28.79119
11.87086,22.31312
11.85584,22.08710
12.98499,22.73893
12.74610,22.11690
16.38389,25.79999
12.62093,24.58215
16.36791,23.24820
52.25110,21.63005
12.75516,21.83509
17.06696,24.27387
654.36816,23.95010
16.36410,23.90718
20.24817,24.50800
26.48306,24.15395
12.85386,38.36203
12.14504,29.69790
17.73500,22.35818
14.83393,28.80192
13.58819,22.38989
16.96587,23.27585
12.56180,23.78392
12.49981,22.31383
12.37011,30.89619
12.66408,22.85814
16.74318,23.73314
12.81190,23.91005
15.68317,28.86915
12.92706,21.91496
33.45799,36.08680
11.81602,21.81005
12.48288,22.31407
12.27212,21.87896
12.74300,189.17084
12.08711,22.77398
19.35887,23.16308
11.90901,24.02091
43.52498,27.85587
16.21890,25.48385
12.58802,26.12114
18.77284,22.88699
12.86411,22.53699
12.19702,24.72401
15.28120,28.28789
14.37902,30.11489
15.53798,28.84603
12.35580,23.97919
12.08878,22.78686
15.34796,24.54209
15.66696,24.72210
16.09087,24.88208
15.80000,101.54510
21.73519,26.21388
15.55705,26.19290
18.98813,28.91588
12.91299,22.90511
12.54010,22.93205
80.73401,25.15101
16.34097,24.75595
16.11781,43.95199
12.75206,23.57006
12.83193,28.03683
12.53581,28.51105
33.24509,22.64905
89.69116,33.05602
11.46388,25.51007
67.22093,22.06302
13.25202,22.41087
15.51986,53.79391
18.19587,23.02694
12.33411,22.80307
16.11400,25.09785
16.80899,23.92912
13.28087,28.99694
13.18192,22.96805
15.54799,22.48383
11.60598,22.39490
11.70802,24.12701
12.62808,23.16213
15.42997,25.56610
12.14004,22.75085
13.39412,22.71199
12.53295,22.73202
12.06112,22.87912
11.60312,22.60518
12.58206,26.29304
126.18685,22.78209
39.83903,39.69097
14.02593,24.78504
12.76898,23.09489
12.04991,25.83885
11.68418,23.11110
12.11190,24.68896
19.23490,24.49608
12.27808,22.85194
11.96313,30.72405
12.15696,56.92697
12.45117,22.48001
11.97982,21.94095
12.54511,22.11905
11.98888,22.77207
12.67910,22.13693
15.18202,24.04904
12.47597,23.87905
18.26000,23.60296
16.76702,24.06907
16.10804,27.53019
23.91100,23.89193
14.16898,26.09587
15.72800,27.82702
27.36497,22.47214
16.93106,23.73910
12.74109,22.69793
23.39697,22.86887
21.10910,23.87595
16.75510,23.37098
18.94999,25.35295
13.79395,40.36093
16.99495,22.89891
58.93803,25.21300
17.76290,24.07813
14.30488,22.07804
11.43813,22.05300
18.00203,24.38998
13.65495,22.66312
17.82203,22.83788
12.24399,21.90304
27.15588,27.97103
12.06088,24.37401
17.71688,28.55921
12.60400,25.04396
11.94811,21.77191
12.12192,22.51816
13.01408,28.00202
15.16819,28.14794
12.12788,23.01097
16.43515,22.63618
12.66599,23.60106
14.31012,23.17190
13.06486,23.69308
11.93309,22.22800
12.03585,22.10712
12.47883,22.86911
12.83598,21.79289
11.85513,22.16101
12.32386,22.11595
13.69905,24.45483
12.34198,24.08195
305.23586,22.63093
17.34304,21.65890
11.71803,27.70615
11.30295,21.58713
12.57610,22.24398
13.99207,22.44306
15.55705,23.12899
16.11280,26.48401
13.09395,26.36814
12.38894,27.89593
12.75206,22.19105
11.57594,21.42096
16.77704,27.26889
13.32402,46.84401
12.62307,22.71700
12.21609,21.94095
12.38418,22.14193
15.74206,22.51482
295.15290,56.30898
20.20907,21.86894
12.00819,22.07899
12.22301,24.82700
17.38715,23.85211
16.94608,38.07402
11.97505,22.15505
15.62595,22.58301
15.66219,27.15302
12.00986,22.79210
23.27704,59.52406
13.23795,29.42109
16.39199,24.04618
16.11400,23.22412
15.03301,27.36115
11.76214,21.91401
12.10117,22.92895
12.79306,22.12501
12.10690,23.73099
12.30192,40.55691
14.87613,22.38297
11.69801,21.11220
12.24089,21.44599
18.09812,22.44687
12.48908,21.55900
12.86793,22.66717
15.71798,22.41492
12.39991,21.68608
272.35603,52.75702
12.29310,21.92712
411.04007,54.44407
12.06183,21.52181
11.60502,22.21990
11.77597,21.60311
11.61981,21.58284
11.31582,21.26908
12.78591,23.36407
12.44521,21.90709
12.49385,22.42589
12.27903,21.89898
40.45916,22.43018
12.02798,23.49997
12.15100,22.53509
11.79695,21.98696
19.29498,22.35508
12.80499,22.79711
12.84194,24.92714
12.61401,56.63514
15.69819,21.75784
11.72495,22.78209
13.16905,25.39110
12.67695,21.72112
11.91807,22.29500
11.80696,25.69103
12.64691,23.60082
15.66911,22.99786
12.03012,27.63700
13.78703,21.90804
12.11810,23.19598
13.85808,32.83811
15.63692,22.11881
17.77911,22.87292
15.46001,21.85512
18.33820,230.67188
12.29787,22.98212
14.37092,22.06492
12.78615,22.59803
13.88216,22.57204
13.81302,21.98100
13.72790,22.58205
12.63309,22.17984
12.48407,50.05312
12.86101,22.93611
11.99007,21.57903
11.81197,24.38688
17.20405,22.47405
14.00089,22.04704
18.26215,21.91591
13.61704,22.64404
11.57284,22.29190
737.84781,67.33680
14.04119,21.69418
12.32314,22.55011
35.59208,22.03512
13.11207,22.88580
210.06417,24.95790
12.62283,23.09203
11.59096,22.88103
13.52978,41.70990
11.75904,21.81506
12.70413,23.54503
15.03611,22.57991
12.70795,21.99602
19.19103,21.87204
11.97791,21.81602
11.77311,22.56918
11.91401,23.57912
12.64310,23.46301
12.24113,23.45896
12.48002,24.83606
11.87897,21.65985
13.32402,24.58286
65.89890,193.41397
11.94906,22.89796
11.93500,23.27299
11.86109,21.61098
17.18903,22.34101
12.55512,22.86601
11.48200,23.83804
11.90400,21.75498
11.86395,22.33505
13.59296,22.45903
12.43591,22.12596
12.67600,22.80307
12.74514,22.17388
11.73210,21.84010
12.40492,23.25296
