# p1 - c5 sync,p2 - c1 sync,c1 - p2,c5 - p1
20234.93004,5160.28810,0.00000,137.30502
83.24718,83.53686,46.02218,46.67783
1401.02983,47.54901,119.88497,224.25604
196.18988,154.53005,43.96105,70.21499
2108.72102,952.28696,30.50900,48.02203
1494.32206,190.06681,23.95797,138.87906
53.85184,103.85990,65.66596,116.81509
49.27802,1298.63596,21.93594,66.13111
45.63308,46.56506,46.14997,67.91306
47.22214,46.93699,43.52593,43.88595
102.58389,88.85813,33.18405,203.46403
49.36504,57.00612,45.55488,111.03415
51.32008,1013.76104,28.45597,47.27793
47.39499,45.49003,50.29583,43.66684
395.12801,58.94399,44.97719,79.02908
58.54821,48.83504,76.27702,100.07787
1104.37584,46.88501,44.56592,44.21496
55.98307,54.80194,45.09497,45.92586
57.44386,202.85392,44.35015,68.42589
85.84380,107.33199,55.72605,86.43007
52.90294,54.26598,47.60122,43.83111
46.22912,47.77908,48.02585,96.66109
137.78591,335.01196,24.09196,350.27003
1073.03500,47.72210,92.76509,75.83094
51.22709,499.98903,29.02317,45.85505
1208.10509,53.53594,45.00604,45.63594
47.80507,47.35994,182.45411,45.41397
50.69685,45.54796,44.86299,44.32607
69.00191,48.86794,46.55099,89.74099
47.62006,47.44101,45.18580,44.22402
57.32393,45.69721,46.18907,44.43717
1413.72108,47.82581,45.11285,95.13211
1219.16914,79.32019,47.17994,45.58206
74.83101,90.71183,199.86796,65.13500
108.60300,84.06615,46.02098,42.68384
47.32609,118.93511,44.72995,206.99096
1776.64709,47.09792,188.27200,93.10722
172.10889,53.83515,150.72107,49.82996
165.77315,340.61599,84.13815,65.76300
102.57387,81.23016,44.09289,43.38408
46.54503,47.37687,243.77799,43.97488
87.86702,1063.46607,22.73583,206.03395
141.17908,113.52706,22.41611,67.97504
52.65617,53.51210,45.89486,222.39685
101.14503,102.48804,44.38400,46.31805
93.94002,977.14281,23.63706,44.23809
48.83981,50.17281,183.32195,80.06716
60.13608,94.51485,44.13486,42.94801
1321.09118,238.66606,56.96082,43.07199
55.90677,70.59383,44.05904,44.80696
53.42913,83.69303,187.23202,46.66305
432.09505,648.66209,23.16213,48.15197
46.80419,53.88117,43.94794,44.94190
45.43090,119.60292,48.85602,46.46802
52.03104,61.76209,94.90681,73.76218
1153.30100,57.72185,68.89105,44.95001
47.80698,84.23185,71.75517,44.19613
65.03606,52.03700,45.41397,68.08519
45.55893,46.31996,49.28684,44.37089
125.67186,74.09596,66.20622,68.99405
